TA,Key,Indication
Metabolic Disorders,Heterozygous familial hypercholesterolemia,Heterozygous familial hypercholesterolemia
Oncology,Kidney Cancer,Kidney Cancer
Dermatology,Skin Ulcers,Skin Ulcers
Dermatology,Atopic Dermatitis,Atopic Dermatitis
Immunology,Chronic Cutaneous Lupus Erythematosus,Chronic Cutaneous Lupus Erythematosus
Infectious Disease,"Influenza A Virus, H5N1 Subtype Infections","Influenza A Virus, H5N1 Subtype Infections"
Infectious Disease,Clostridium difficile Infections,Clostridium difficile Infections
Infectious Disease,Tinea Pedis,Tinea Pedis
Hormonal Disorders,Acromegaly,Acromegaly
Oncology,Glioblastoma Multiforme,Glioblastoma Multiforme
Oncology,Hematological Tumor,Hematological Tumor
Oncology,Anal Cancer,Anal Cancer
Oncology,Human Papillomavirus Associated Cancer,Human Papillomavirus Associated Cancer
Metabolic Disorders,Diabetic Peripheral Neuropathy,Diabetic Peripheral Neuropathy
Gastrointestinal,Hepatic Encephalopathy,Hepatic Encephalopathy
Oncology,Hormone Refractory Prostate Cancer,Hormone Refractory Prostate Cancer
Cardiovascular,Ischemic Stroke,Ischemic Stroke
Genetic Disorders,Osteogenesis Imperfecta,Osteogenesis Imperfecta
Hematological Disorders,Anemia,Anemia
Oncology,Acute Lymphocytic Leukemia,Acute Lymphocytic Leukemia
Oncology,Blood Cancer,Blood Cancer
Oncology,Lymphoma,Lymphoma
Central Nervous System,Epilepsy,Epilepsy
Gastrointestinal,Emesis,Emesis
Musculoskeletal Disorders,Osteoarthritis,Osteoarthritis
Immunology,Rheumatoid Arthritis,Rheumatoid Arthritis
Central Nervous System,Bipolar Disorder,Bipolar Disorder
Oncology,Recurrent Glioblastoma Multiforme,Recurrent Glioblastoma Multiforme
Oncology,Cervical Cancer,Cervical Cancer
Infectious Disease,Respiratory Syncytial Virus Infections,Respiratory Syncytial Virus Infections
Central Nervous System,Diabetic Neuropathic Pain,Diabetic Neuropathic Pain
Respiratory,Allergic Asthma,Allergic Asthma
Central Nervous System,Schizophrenia,Schizophrenia
Infectious Disease,"Influenza A Virus, H7N9 Subtype Infections","Influenza A Virus, H7N9 Subtype Infections"
Ear Nose Throat Disorders,Sinusitis,Sinusitis
Oncology,Chronic Lymphocytic Leukemia,Chronic Lymphocytic Leukemia
Oncology,Colon Cancer,Colon Cancer
Oncology,Gastric Cancer,Gastric Cancer
Oncology,Diffuse Large B-Cell Lymphoma,Diffuse Large B-Cell Lymphoma
Infectious Disease,Tuberculosis,Tuberculosis
Infectious Disease,Toxoplasmosis,Toxoplasmosis
Infectious Disease,Cytomegalovirus Infections,Cytomegalovirus Infections
Oncology,Primary Mediastinal B-Cell Lymphoma,Primary Mediastinal B-Cell Lymphoma
Gastrointestinal,Pancreatitis,Pancreatitis
Respiratory,Seasonal Allergic Rhinitis,Seasonal Allergic Rhinitis
Musculoskeletal Disorders,Oculopharyngeal Muscular Dystrophy,Oculopharyngeal Muscular Dystrophy
Central Nervous System,Post-Operative Pain,Post-Operative Pain
Oncology,Bladder Cancer,Bladder Cancer
Cardiovascular,Myocardial Infarction,Myocardial Infarction
Dermatology,Epidermolysis Bullosa,Epidermolysis Bullosa
Infectious Disease,Streptococcal Pneumonia,Streptococcal Pneumonia
Women's Health,Female Hypoactive Sexual Desire Disorder,Female Hypoactive Sexual Desire Disorder
Infectious Disease,Hepatitis C,Hepatitis C
Toxicology,Chemotherapy Induced Nausea and Vomiting,Chemotherapy Induced Nausea and Vomiting
Metabolic Disorders,Obesity,Obesity
Toxicology,Chemotherapy Induced Anemia,Chemotherapy Induced Anemia
Hematological Disorders,Antithrombin III Deficiency,Antithrombin III Deficiency
Oncology,Pancreatic Cancer,Pancreatic Cancer
Central Nervous System,Opium Addiction,Opium Addiction
Central Nervous System,Multiple Sclerosis,Multiple Sclerosis
Hematological Disorders,Hemophilia A,Hemophilia A
Oncology,Breast Cancer,Breast Cancer
Oncology,Follicular Lymphoma,Follicular Lymphoma
Central Nervous System,Anxiety Disorders,Anxiety Disorders
Central Nervous System,Depression,Depression
Oncology,Melanoma,Melanoma
Central Nervous System,Visceral Pain,Visceral Pain
Oncology,B-Cell Non-Hodgkin Lymphoma,B-Cell Non-Hodgkin Lymphoma
Cardiovascular,Cardiovascular Disease,Cardiovascular Disease
Gastrointestinal,Reflux Esophagitis,Reflux Esophagitis
Infectious Disease,Community Acquired Pneumonia,Community Acquired Pneumonia
Cardiovascular,Acute Ischemic Stroke,Acute Ischemic Stroke
Cardiovascular,Hypertension,Hypertension
Oncology,Renal Cell Carcinoma,Renal Cell Carcinoma
Cardiovascular,Atrial Fibrillation,Atrial Fibrillation
Cardiovascular,Acute Heart Failure,Acute Heart Failure
Immunology,Systemic Sclerosis,Systemic Sclerosis
Hormonal Disorders,Growth Hormone Deficiency,Growth Hormone Deficiency
Respiratory,Chronic Cough,Chronic Cough
Immunology,Inflammation,Inflammation
Hematological Disorders,Leukopenia,Leukopenia
Male Health,Benign Prostatic Hyperplasia,Benign Prostatic Hyperplasia
Metabolic Disorders,Diabetic Neuropathy,Diabetic Neuropathy
Oncology,Relapsed Multiple Myeloma,Relapsed Multiple Myeloma
Oncology,Multiple Myeloma,Multiple Myeloma
Oncology,Metastatic Melanoma,Metastatic Melanoma
Ophthalmology,Choroidal Neovascularization,Choroidal Neovascularization
Oncology,Hormone Sensitive Breast Cancer,Hormone Sensitive Breast Cancer
Ophthalmology,Strabismus,Strabismus
Oncology,Hormone-Sensitive Prostate Cancer,Hormone-Sensitive Prostate Cancer
Oncology,Metastatic Hormone Refractory Prostate Cancer,Metastatic Hormone Refractory Prostate Cancer
Oncology,Chronic Idiopathic Myelofibrosis,Chronic Idiopathic Myelofibrosis
Oncology,Mantle Cell Lymphoma,Mantle Cell Lymphoma
Oncology,Malignant Pleural Mesothelioma,Malignant Pleural Mesothelioma
Oncology,Bone Metastasis,Bone Metastasis
Oncology,Metastatic Prostate Cancer,Metastatic Prostate Cancer
Oncology,Chronic Myelocytic Leukemia,Chronic Myelocytic Leukemia
Oncology,Carcinoid Tumor,Carcinoid Tumor
Oncology,Head And Neck Cancer Squamous Cell Carcinoma,Head And Neck Cancer Squamous Cell Carcinoma
Oncology,Metastatic Adenocarcinoma of The Pancreas,Metastatic Adenocarcinoma of The Pancreas
Oncology,Anaplastic Large Cell Lymphoma,Anaplastic Large Cell Lymphoma
Oncology,Metastatic Transitional Tract Cancer,Metastatic Transitional Tract Cancer
Oncology,Refractory Anemia With Excess Blasts,Refractory Anemia With Excess Blasts
Oncology,Chronic Myelomonocytic Leukemia,Chronic Myelomonocytic Leukemia
Oncology,Myelodysplastic Syndrome,Myelodysplastic Syndrome
Oncology,Metastatic Pancreatic Cancer,Metastatic Pancreatic Cancer
Oncology,Follicular Thyroid Cancer,Follicular Thyroid Cancer
Ophthalmology,Allergic Conjunctivitis,Allergic Conjunctivitis
Ophthalmology,Ocular Inflammation,Ocular Inflammation
Oncology,Mycosis Fungoides,Mycosis Fungoides
Ophthalmology,Blepharospasm,Blepharospasm
Oncology,Liposarcoma,Liposarcoma
Oncology,Refractory Chronic Lymphocytic Leukemia,Refractory Chronic Lymphocytic Leukemia
Ophthalmology,Macular Edema,Macular Edema
Ophthalmology,Bacterial Corneal Ulcers,Bacterial Corneal Ulcers
Oncology,Basal Cell Carcinoma,Basal Cell Carcinoma
Oncology,Metastatic Breast Cancer,Metastatic Breast Cancer
Oncology,Anaplastic Astrocytoma,Anaplastic Astrocytoma
Ophthalmology,Glaucoma,Glaucoma
Ophthalmology,Bacterial Conjunctivitis,Bacterial Conjunctivitis
Oncology,Merkel Cell Carcinoma,Merkel Cell Carcinoma
Other Diseases,Trauma,Trauma
Ophthalmology,Anterior Segment Inflammation,Anterior Segment Inflammation
Ophthalmology,Age-Related Cataract,Age-Related Cataract
Ophthalmology,Uveitis,Uveitis
Other Diseases,Fever,Fever
Ophthalmology,Allergic Corneal Marginal Ulcers,Allergic Corneal Marginal Ulcers
Ophthalmology,Asthenopia,Asthenopia
Oncology,Cancer Anorexia-Cachexia Syndrome,Cancer Anorexia-Cachexia Syndrome
Oncology,Humoral Hypercalcemia of Malignancy,Humoral Hypercalcemia of Malignancy
Ophthalmology,Corneal Ulcers,Corneal Ulcers
Ophthalmology,Mydriasis,Mydriasis
Oncology,Acute Promyelocytic Leukemia,Acute Promyelocytic Leukemia
Oncology,B-Cell Chronic Lymphocytic Leukemia,B-Cell Chronic Lymphocytic Leukemia
Oncology,Leukemia,Leukemia
Oncology,Hodgkin Lymphoma,Hodgkin Lymphoma
Ophthalmology,Conjunctivitis,Conjunctivitis
Ophthalmology,Cystoid Macular Edema,Cystoid Macular Edema
Oncology,Pheochromocytoma,Pheochromocytoma
Ophthalmology,Fungal Keratitis,Fungal Keratitis
Oncology,Brain Tumor,Brain Tumor
Ophthalmology,Chorioretinitis,Chorioretinitis
Ophthalmology,Anterior Uveitis,Anterior Uveitis
Ophthalmology,Closed-Angle Glaucoma,Closed-Angle Glaucoma
Ophthalmology,Keratitis,Keratitis
Ophthalmology,Optic Neuritis,Optic Neuritis
Oncology,Hairy Cell Leukemia,Hairy Cell Leukemia
Oncology,Ewing Sarcoma,Ewing Sarcoma
Ophthalmology,Acute Glaucoma,Acute Glaucoma
Ophthalmology,Blepharitis,Blepharitis
Ophthalmology,Bacterial Keratitis,Bacterial Keratitis
Ophthalmology,Hypertensive Retinopathy,Hypertensive Retinopathy
Oncology,Astrocytoma,Astrocytoma
Oncology,Adrenocortical Carcinoma,Adrenocortical Carcinoma
Ophthalmology,Age Related Macular Degeneration,Age Related Macular Degeneration
Ophthalmology,Eye Infections,Eye Infections
Ophthalmology,Vitreomacular Adhesion,Vitreomacular Adhesion
Ophthalmology,Miosis,Miosis
Oncology,Endobronchial Cancer,Endobronchial Cancer
Oncology,Esophageal Cancer,Esophageal Cancer
Oncology,Prostate Cancer,Prostate Cancer
Other Diseases,Brain Trauma,Brain Trauma
Oncology,Rhabdomyosarcoma,Rhabdomyosarcoma
Oncology,Metastatic Ovarian Cancer,Metastatic Ovarian Cancer
Ophthalmology,Herpetic Keratitis,Herpetic Keratitis
Ophthalmology,Choroiditis,Choroiditis
Ophthalmology,Bacterial Blepharoconjunctivitis,Bacterial Blepharoconjunctivitis
Ophthalmology,Anterior Blepharitis,Anterior Blepharitis
Oncology,Leptomeningeal Disease,Leptomeningeal Disease
Oncology,Malignant Glioma,Malignant Glioma
Oncology,Cutaneous T-Cell Lymphoma,Cutaneous T-Cell Lymphoma
Oncology,Androgen-Sensitive Prostate Cancer,Androgen-Sensitive Prostate Cancer
Oncology,Bladder Carcinoma,Bladder Carcinoma
Oncology,Essential Thrombocythemia,Essential Thrombocythemia
Oncology,Biliary Tumor,Biliary Tumor
Oncology,Myelofibrosis,Myelofibrosis
Ophthalmology,Cycloplegia,Cycloplegia
Ophthalmology,Posterior Uveitis,Posterior Uveitis
Oncology,Thyroid Cancer,Thyroid Cancer
Other Diseases,Fistula,Fistula
Ophthalmology,Optic Nerve Injury,Optic Nerve Injury
Ophthalmology,Infectious Endophthalmitis,Infectious Endophthalmitis
Oncology,Head And Neck Cancer,Head And Neck Cancer
Oncology,Acute Lymphoblastic Lymphoma,Acute Lymphoblastic Lymphoma
Ophthalmology,Amblyopia,Amblyopia
Oncology,Osteosarcoma,Osteosarcoma
Other Diseases,Traumatic Lesions,Traumatic Lesions
Oncology,Endometrial Cancer,Endometrial Cancer
Genito Urinary System And Sex Hormones,Nephrotic Syndrome,Nephrotic Syndrome
Genetic Disorders,Tuberous Sclerosis,Tuberous Sclerosis
Genito Urinary System And Sex Hormones,Overactive Bladder,Overactive Bladder
Genetic Disorders,Turner Syndrome,Turner Syndrome
Genetic Disorders,Glycogen Storage Disorders,Glycogen Storage Disorders
Genetic Disorders,Polycystic Kidney Disease,Polycystic Kidney Disease
Genetic Disorders,Mucopolysaccharidosis II,Mucopolysaccharidosis II
Genito Urinary System And Sex Hormones,Bacterial Cystitis,Bacterial Cystitis
Genetic Disorders,Prader-Willi Syndrome,Prader-Willi Syndrome
Genetic Disorders,Cryopyrin-Associated Periodic Syndromes,Cryopyrin-Associated Periodic Syndromes
Genetic Disorders,Mucopolysaccharidosis IV,Mucopolysaccharidosis IV
Genetic Disorders,Hypophosphatasia,Hypophosphatasia
Genito Urinary System And Sex Hormones,Dysuria,Dysuria
Genetic Disorders,Mucopolysaccharidosis VI,Mucopolysaccharidosis VI
Genito Urinary System And Sex Hormones,Urethritis,Urethritis
Genetic Disorders,Mucopolysaccharidosis I,Mucopolysaccharidosis I
Genetic Disorders,Tyrosinemia,Tyrosinemia
Genetic Disorders,Lysosomal Acid Lipase Deficiency,Lysosomal Acid Lipase Deficiency
Genetic Disorders,Cystinuria,Cystinuria
Genetic Disorders,Spinocerebellar Ataxia,Spinocerebellar Ataxia
Genito Urinary System And Sex Hormones,Chronic Kidney Disease,Chronic Kidney Disease
Genito Urinary System And Sex Hormones,Renal Insufficiency,Renal Insufficiency
Genito Urinary System And Sex Hormones,Cystitis,Cystitis
Genetic Disorders,Ichthyosis Vulgaris,Ichthyosis Vulgaris
Genetic Disorders,Primary Hemochromatosis,Primary Hemochromatosis
Genito Urinary System And Sex Hormones,Nocturnal Enuresis,Nocturnal Enuresis
Genito Urinary System And Sex Hormones,Neurogenic Bladder Dysfunction,Neurogenic Bladder Dysfunction
Genito Urinary System And Sex Hormones,Urinary Incontinence,Urinary Incontinence
Genito Urinary System And Sex Hormones,Pollakiuria,Pollakiuria
Genetic Disorders,Cockayne Syndrome,Cockayne Syndrome
Genito Urinary System And Sex Hormones,Urinary Tract Infections,Urinary Tract Infections
Genetic Disorders,Congenital Ichthyosis,Congenital Ichthyosis
Genetic Disorders,Subacute Necrotizing Encephalomyelopathy,Subacute Necrotizing Encephalomyelopathy
Genetic Disorders,Usher Syndrome,Usher Syndrome
Genetic Disorders,Hyperammonemia,Hyperammonemia
Genetic Disorders,Benign Familial Pemphigus,Benign Familial Pemphigus
Genito Urinary System And Sex Hormones,Enuresis,Enuresis
Genito Urinary System And Sex Hormones,Renal Osteodystrophy,Renal Osteodystrophy
Genito Urinary System And Sex Hormones,Stress Urinary Incontinence,Stress Urinary Incontinence
Genetic Disorders,Wilson Disease,Wilson Disease
Genito Urinary System And Sex Hormones,Glomerulonephritis,Glomerulonephritis
Genito Urinary System And Sex Hormones,Renal Stones/Calculi,Renal Stones/Calculi
Genito Urinary System And Sex Hormones,Renal Failure,Renal Failure
Genito Urinary System And Sex Hormones,Proteinuria,Proteinuria
Genito Urinary System And Sex Hormones,IgA Nephropathy,IgA Nephropathy
Genetic Disorders,Chronic Granulomatous Disease,Chronic Granulomatous Disease
Genetic Disorders,Acute Intermittent Porphyria,Acute Intermittent Porphyria
Genetic Disorders,Homocystinuria,Homocystinuria
Genetic Disorders,Malignant Hyperthermia,Malignant Hyperthermia
Genito Urinary System And Sex Hormones,Drug Induced Cystitis,Drug Induced Cystitis
Genito Urinary System And Sex Hormones,Acute Renal Failure,Acute Renal Failure
Genetic Disorders,Acid Sphingomyelinase Deficiency,Acid Sphingomyelinase Deficiency
Genetic Disorders,Adenosine Deaminase Deficiency,Adenosine Deaminase Deficiency
Genetic Disorders,Gonadal Dysgenesis,Gonadal Dysgenesis
Gastrointestinal,Atypical Hemolytic Uremic Syndrome,Atypical Hemolytic Uremic Syndrome
Gastrointestinal,Duodenal Ulcer,Duodenal Ulcer
Gastrointestinal,Exocrine Pancreatic Insufficiency,Exocrine Pancreatic Insufficiency
Gastrointestinal,Constipation,Constipation
Gastrointestinal,Hepatic Edema,Hepatic Edema
Gastrointestinal,Cholangitis,Cholangitis
Gastrointestinal,Enteritis,Enteritis
Gastrointestinal,Candida Peritonitis,Candida Peritonitis
Gastrointestinal,Gastric Motility Disorder,Gastric Motility Disorder
Gastrointestinal,Cholecystitis,Cholecystitis
Gastrointestinal,Gastric Ulcers,Gastric Ulcers
Gastrointestinal,Liver Failure,Liver Failure
Gastrointestinal,Chronic Liver Disease,Chronic Liver Disease
Gastrointestinal,Enterocolitis,Enterocolitis
Gastrointestinal,Acid Indigestion,Acid Indigestion
Gastrointestinal,Functional Dyspepsia,Functional Dyspepsia
Gastrointestinal,Atrophic Gastritis,Atrophic Gastritis
Gastrointestinal,Gastritis,Gastritis
Gastrointestinal,Hemorrhoids,Hemorrhoids
Gastrointestinal,Biliary Dyskinesia,Biliary Dyskinesia
Gastrointestinal,Stomatitis,Stomatitis
Gastrointestinal,Indigestion,Indigestion
Gastrointestinal,Spontaneous Bacterial Peritonitis,Spontaneous Bacterial Peritonitis
Gastrointestinal,Corrosive Esophagitis,Corrosive Esophagitis
Gastrointestinal,Diarrhea,Diarrhea
Gastrointestinal,Cirrhosis,Cirrhosis
Gastrointestinal,Gall Stone,Gall Stone
Gastrointestinal,Colitis,Colitis
Gastrointestinal,Infectious Diarrhea,Infectious Diarrhea
Gastrointestinal,Anal Fistula,Anal Fistula
Gastrointestinal,Motion Sickness,Motion Sickness
Gastrointestinal,Systemic Mastocytosis,Systemic Mastocytosis
Gastrointestinal,Peptic Ulcers,Peptic Ulcers
Gastrointestinal,Gastrointestinal Bleeding,Gastrointestinal Bleeding
Gastrointestinal,Ulcers,Ulcers
Gastrointestinal,Ascites,Ascites
Gastrointestinal,Dyspepsia,Dyspepsia
Gastrointestinal,Biliary Tract Disease,Biliary Tract Disease
Gastrointestinal,Biliary Cirrhosis,Biliary Cirrhosis
Gastrointestinal,Biliary Tract Infection,Biliary Tract Infection
Gastrointestinal,Peritonitis,Peritonitis
Gastrointestinal,Gastroenteritis,Gastroenteritis
Gastrointestinal,Cholestasis,Cholestasis
Gastrointestinal,Malabsorption Syndrome,Malabsorption Syndrome
Gastrointestinal,Liver Cirrhosis,Liver Cirrhosis
Gastrointestinal,Choledocholithiasis,Choledocholithiasis
Gastrointestinal,Esophageal Varices,Esophageal Varices
Gastrointestinal,Limited/Distal Colitis,Limited/Distal Colitis
Gastrointestinal,Flatulence,Flatulence
Gastrointestinal,Lumbar Hernia/Bleichner's Hernia,Lumbar Hernia/Bleichner's Hernia
Gastrointestinal,Post Operative Nausea And Vomiting,Post Operative Nausea And Vomiting
Gastrointestinal,Anorectal Inflammation,Anorectal Inflammation
Gastrointestinal,Anal Fissure,Anal Fissure
Gastrointestinal,Autoimmune Hepatitis,Autoimmune Hepatitis
Respiratory,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease
Women's Health,Primary Dysmenorrhea,Primary Dysmenorrhea
Toxicology,Iron Poisoning,Iron Poisoning
Women's Health,Born Small For Gestational Age,Born Small For Gestational Age
Respiratory,Pharyngitis,Pharyngitis
Women's Health,Dysmenorrhea,Dysmenorrhea
Women's Health,Anovulation,Anovulation
Respiratory,Chronic Bronchitis,Chronic Bronchitis
Respiratory,Hypoxemic Respiratory Failure,Hypoxemic Respiratory Failure
Respiratory,Perennial Allergic Rhinitis,Perennial Allergic Rhinitis
Respiratory,Lower Respiratory Tract Infections,Lower Respiratory Tract Infections
Women's Health,Premenstrual Dysphoric Disorder,Premenstrual Dysphoric Disorder
Respiratory,Bronchiectasis,Bronchiectasis
Respiratory,Bacterial Respiratory Tract Infections,Bacterial Respiratory Tract Infections
Respiratory,Neonatal Respiratory Distress Syndrome,Neonatal Respiratory Distress Syndrome
Respiratory,Bronchitis,Bronchitis
Respiratory,Bronchospasm,Bronchospasm
Respiratory,Cough,Cough
Women's Health,Labor And Delivery,Labor And Delivery
Women's Health,Amenorrhea,Amenorrhea
Women's Health,Fibrocystic Breast Disease,Fibrocystic Breast Disease
Toxicology,Chemotherapy Effects,Chemotherapy Effects
Women's Health,Hydatidiform Mole,Hydatidiform Mole
Respiratory,Acute Bronchitis,Acute Bronchitis
Respiratory,Dyspnea,Dyspnea
Respiratory,Aspiration Pneumonitis,Aspiration Pneumonitis
Women's Health,Menopausal Disorders,Menopausal Disorders
Respiratory,Nasal Congestion,Nasal Congestion
Women's Health,Menstrual Cramps,Menstrual Cramps
Respiratory,Respiratory Acidosis,Respiratory Acidosis
Respiratory,Empyema,Empyema
Women's Health,Premature Ovarian Failure,Premature Ovarian Failure
Respiratory,Respiratory Tract Infections,Respiratory Tract Infections
Respiratory,Respiratory Depression,Respiratory Depression
Toxicology,Drug Overdose,Drug Overdose
Respiratory,Persistant Allergic Rhinitis,Persistant Allergic Rhinitis
Women's Health,Adnexitis,Adnexitis
Toxicology,Lead Poisoning,Lead Poisoning
Respiratory,Lower Respiratory Tract Infections by Streptococcus Pneumoniae,Lower Respiratory Tract Infections by Streptococcus Pneumoniae
Respiratory,Pneumoconiosis,Pneumoconiosis
Respiratory,Acute Asthma,Acute Asthma
Women's Health,Metrorrhagia,Metrorrhagia
Respiratory,Bronchiolitis,Bronchiolitis
Respiratory,Acute Upper Respiratory Tract Infections,Acute Upper Respiratory Tract Infections
Respiratory,Emphysema,Emphysema
Toxicology,Acute Opioid Overdosage,Acute Opioid Overdosage
Women's Health,Menorrhagia,Menorrhagia
Toxicology,Radiodermatitis,Radiodermatitis
Respiratory,Acute Respiratory Failure,Acute Respiratory Failure
Respiratory,Malignant Pleural Effusion,Malignant Pleural Effusion
Women's Health,Induced Abortion,Induced Abortion
Respiratory,Pneumonia,Pneumonia
Women's Health,Premature Labor,Premature Labor
Women's Health,Premenstrual Syndrome,Premenstrual Syndrome
Respiratory,Transfusion Hemosiderosis,Transfusion Hemosiderosis
Women's Health,Vasomotor Symptoms of Menopause,Vasomotor Symptoms of Menopause
Respiratory,Acute Pharyngitis,Acute Pharyngitis
Respiratory,Dry Cough,Dry Cough
Women's Health,Cervical Ripening In Pregnant Women Near Term,Cervical Ripening In Pregnant Women Near Term
Respiratory,Viral Respiratory Tract Infection,Viral Respiratory Tract Infection
Respiratory,Meconium Aspiration Syndrome,Meconium Aspiration Syndrome
Women's Health,Gestational Trophoblastic Disease,Gestational Trophoblastic Disease
Respiratory,Upper Respiratory Tract Infections,Upper Respiratory Tract Infections
Respiratory,Acute Lung Infection,Acute Lung Infection
