id,TA,Indication,Generic,Brand,Firm
23,Oncology,Colorectal Cancer,amcasertib,NA,Boston Biomedical Inc
23,Oncology,Head And Neck Cancer,amcasertib,NA,Boston Biomedical Inc
23,Oncology,Metastatic Hepatocellular Carcinoma,amcasertib,NA,Boston Biomedical Inc
24,Oncology,Solid Tumor,amcasertib,NA,Boston Biomedical Inc
25,Genetic Disorders,Gaucher Disease Type I,AVRRD-02,NA,AVROBIO Inc
26,Hematology,Thalassemia,CTX-001,NA,CRISPR Therapeutics AG
27,Oncology,B-Cell Acute Lymphocytic Leukemia,CTX-110,NA,CRISPR Therapeutics AG
28,Oncology,Fallopian Tube Cancer,DPX-Survivac,NA,IMV Inc
28,Oncology,Ovarian Cancer,DPX-Survivac,NA,IMV Inc
28,Oncology,Peritoneal Cancer,DPX-Survivac,NA,IMV Inc
29,Dermatology,Scar,Evitar,NA,Temple Therapeutics BV
30,Dermatology,Atopic Dermatitis,KHK-4083,NA,Kyowa Kirin
31,Respiratory,Cystic Fibrosis,LAU-7b,NA,Laurent Pharmaceuticals Inc
32,Immunology,Chronic Cutaneous Lupus Erythematosus,levalbuterol sulfate,NA,Cipher Pharmaceuticals Inc
33,Infectious Disease,Clostridium difficile Infections,MGBBP-3,NA,MGB Biopharma Ltd
34,Oncology,Glioblastoma Multiforme,ombipepimut-s,NA,Sumitomo Dainippon Pharma Co Ltd
35,Oncology,Human Papillomavirus Associated Cancer,Oncolytic Virus to Target E6 and E7 for Human Papillomavirus (HPV) Associated Solid Tumors,NA,Turnstone Biologics Inc
36,Gastroenterology,Hepatic Encephalopathy,rifaximin SSD,NA,Bausch
36,Gastroenterology,Liver Cirrhosis,rifaximin SSD,NA,Bausch
37,Cardiology,Ischemic Stroke,SB-623,NA,SanBio Inc
38,Genetic Disorders,Osteogenesis Imperfecta,setrusumab,NA,Mereo Biopharma Group Plc
39,Oncology,Acute Lymphocytic Leukemia,"Stem Cell Therapy for Gastrointestinal, Hematological Disorders, Immunology, Metabolic Disorders and Oncology",NA,ExCellThera Inc
39,Oncology,Chronic Myelocytic Leukemia,"Stem Cell Therapy for Gastrointestinal, Hematological Disorders, Immunology, Metabolic Disorders and Oncology",NA,ExCellThera Inc
39,Oncology,Myelodysplastic Syndrome,"Stem Cell Therapy for Gastrointestinal, Hematological Disorders, Immunology, Metabolic Disorders and Oncology",NA,ExCellThera Inc
39,Oncology,Refractory Acute Myeloid Leukemia,"Stem Cell Therapy for Gastrointestinal, Hematological Disorders, Immunology, Metabolic Disorders and Oncology",NA,ExCellThera Inc
39,Oncology,Relapsed Acute Myeloid Leukemia,"Stem Cell Therapy for Gastrointestinal, Hematological Disorders, Immunology, Metabolic Disorders and Oncology",NA,ExCellThera Inc
40,Oncology,Lymphoma,"Stem Cell Therapy for Gastrointestinal, Hematological Disorders, Immunology, Metabolic Disorders and Oncology",NA,ExCellThera Inc
41,Metabolic Disorders,Type 1 Diabetes,VC-01,NA,ViaCyte Inc
42,Metabolic Disorders,Type 1 Diabetes,VC-02,PEC-Direct,ViaCyte Inc
43,Neurology,Epilepsy,XEN-1101,NA,Xenon Pharmaceuticals Inc
44,Oncology,Bile Duct Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Cervical Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Colorectal Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Endometrial Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Fallopian Tube Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Gallbladder Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Gastric Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Gastroesophageal Junction Carcinomas,ZW-25,NA,Zymeworks Inc
44,Oncology,Metastatic Breast Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Non-Small Cell Lung Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Salivary Gland Cancer,ZW-25,NA,Zymeworks Inc
44,Oncology,Skin Cancer,ZW-25,NA,Zymeworks Inc
45,Musculoskeletal Disorders,Osteoarthritis,meloxicam + esomeprazole,NA,Axsome Therapeutics Inc
46,Neurology,Pain,meloxicam + esomeprazole,NA,Axsome Therapeutics Inc
47,Immunology,Rheumatoid Arthritis,meloxicam + esomeprazole,NA,Axsome Therapeutics Inc
48,Oncology,Cervical Cancer,bevacizumab biosimilar,NA,Apobiologix
48,Oncology,Epithelial Ovarian Cancer,bevacizumab biosimilar,NA,Apobiologix
48,Oncology,Fallopian Tube Cancer,bevacizumab biosimilar,NA,Apobiologix
48,Oncology,Metastatic Colorectal Cancer,bevacizumab biosimilar,NA,Apobiologix
48,Oncology,Metastatic Renal Cell Carcinoma,bevacizumab biosimilar,NA,Apobiologix
48,Oncology,Non-Small Cell Lung Cancer,bevacizumab biosimilar,NA,Apobiologix
48,Oncology,Peritoneal Cancer,bevacizumab biosimilar,NA,Apobiologix
49,Gastroenterology,Ulcerative Colitis,GB-004,NA,Gossamer Bio Inc
50,Infectious Disease,Clostridium difficile Infections,metronidazole,NA,Appili Therapeutics Inc
51,Oncology,Chronic Lymphocytic Leukemia,rituximab biosimilar,NA,Apobiologix
51,Oncology,Follicular Lymphoma,rituximab biosimilar,NA,Apobiologix
51,Oncology,Non-Hodgkin Lymphoma,rituximab biosimilar,NA,Apobiologix
52,Oncology,Colon Cancer,SL-279252,NA,Shattuck Labs Inc
52,Oncology,Lung Cancer,SL-279252,NA,Shattuck Labs Inc
53,Oncology,Diffuse Large B-Cell Lymphoma,TRPH-222,NA,Triphase Accelerator Corp
53,Oncology,Follicular Lymphoma,TRPH-222,NA,Triphase Accelerator Corp
53,Oncology,Mantle Cell Lymphoma,TRPH-222,NA,Triphase Accelerator Corp
53,Oncology,Marginal Zone B-cell Lymphoma,TRPH-222,NA,Triphase Accelerator Corp
54,Oncology,Primary Mediastinal B-Cell Lymphoma,CD19-TAC01,NA,Triumvira Immunologics Inc
55,Gastroenterology,Pancreatitis,pancrelipase DR,NA,Vivus Inc
56,Neurology,Post-Operative Pain,bupivacaine,NA,Virpax Pharmaceuticals Inc
57,Cardiology,Critical Limb Ischemia,CYP-002,NA,Cynata Therapeutics Ltd
58,Cardiology,Myocardial Infarction,CYP-002,NA,Cynata Therapeutics Ltd
58,Cardiology,Ventricular Arrhythmia,CYP-002,NA,Cynata Therapeutics Ltd
59,Hematology,Anemia,darbepoetin alfa,NA,Apobiologix
60,Oncology,Acute Myelocytic Leukemia,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Breast Cancer,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Colon Cancer,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Glioblastoma Multiforme,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Lung Cancer,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Lymphoma,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Malignant Mesothelioma,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Melanoma,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Neuroblastoma,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Ovarian Cancer,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Pancreatic Cancer,NEO-2734,NA,Epigene Therapeutics Inc
60,Oncology,Prostate Cancer,NEO-2734,NA,Epigene Therapeutics Inc
62,Infectious Disease,Hepatitis C,TBI-301,NA,Therapure Biopharma Inc
63,Neurology,Pain,TD-501,NA,OB Pharmaceuticals
64,Neurology,Epilepsy,TD-567,NA,OB Pharmaceuticals
64,Neurology,Essential Tremor,TD-567,NA,OB Pharmaceuticals
64,Neurology,Pain,TD-567,NA,OB Pharmaceuticals
64,Neurology,Seizures,TD-567,NA,OB Pharmaceuticals
65,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,trastuzumab biosimilar,NA,Apobiologix
65,Oncology,Breast Cancer,trastuzumab biosimilar,NA,Apobiologix
65,Oncology,Gastric Cancer,trastuzumab biosimilar,NA,Apobiologix
67,Oncology,Relapsed Multiple Myeloma,lenalidomide,Revlimid,Celgene Corp
68,Oncology,Multiple Myeloma,lenalidomide,Revlimid,Celgene Corp
68,Oncology,Myelodysplastic Syndrome,lenalidomide,Revlimid,Celgene Corp
69,Oncology,Non-Small Cell Lung Cancer,paclitaxel albumin bound,Abraxane,Celgene Corp
70,Oncology,Metastatic Adenocarcinoma of The Pancreas,paclitaxel albumin bound,Abraxane,Celgene Corp
70,Oncology,Metastatic Breast Cancer,paclitaxel albumin bound,Abraxane,Celgene Corp
71,Oncology,Refractory Anemia With Excess Blasts,azacitidine,Vidaza,Celgene Corp
71,Oncology,Refractory Anemia With Ringed Sideroblasts,azacitidine,Vidaza,Celgene Corp
72,Oncology,Chronic Myelomonocytic Leukemia,azacitidine,Vidaza,Celgene Corp
73,Genetic Disorders,Fabry Disease,migalastat hydrochloride,Galafold,Amicus Therapeutics Inc
74,Oncology,Gastrointestinal Stromal Tumor,sunitinib malate,Sutent,Pfizer Inc
74,Oncology,Metastatic Renal Cell Carcinoma,sunitinib malate,Sutent,Pfizer Inc
74,Oncology,Pancreatic Endocrine Tumor,sunitinib malate,Sutent,Pfizer Inc
75,Ophthalmology,Allergic Conjunctivitis,loteprednol etabonate,Alrex,Bausch
76,Ophthalmology,Bacterial Conjunctivitis,loteprednol etabonate + tobramycin,Zylet,Bausch
76,Ophthalmology,Bacterial Keratitis,loteprednol etabonate + tobramycin,Zylet,Bausch
76,Ophthalmology,Herpes Zoster Ophthalmicus,loteprednol etabonate + tobramycin,Zylet,Bausch
77,Ophthalmology,Bacterial Conjunctivitis,besifloxacin hydrochloride,Besivance,Bausch
78,Infectious Disease,Human Immunodeficiency Virus,dolutegravir sodium + lamivudine,Dovato,ViiV Healthcare
79,Infectious Disease,Respiratory Syncytial Virus Infections,nirsevimab,NA,AstraZeneca
80,Infectious Disease,Vulvovaginal Candidiasis,oteseconazole,NA,Mycovia Pharmaceuticals Inc
81,Infectious Disease,Pandemic Influenza,TG-1000,NA,TaiGen Biotechnology Co Ltd
82,Oncology,Epithelial Ovarian Cancer,nivolumab,NA,Ono Pharmaceutical Co Ltd
82,Oncology,Fallopian Tube Cancer,nivolumab,NA,Ono Pharmaceutical Co Ltd
82,Oncology,Peritoneal Cancer,nivolumab,NA,Ono Pharmaceutical Co Ltd
83,Oncology,Gastric Cancer,pembrolizumab,Keytruda,Merck
84,Oncology,Triple-Negative Breast Cancer,pembrolizumab,NA,Merck
85,Oncology,Hormone-Sensitive Prostate Cancer,enzalutamide,Xtandi,Astellas
86,Oncology,Refractory Multiple Myeloma,daratumumab,NA,Johnson & Johnson
86,Oncology,Relapsed Multiple Myeloma,daratumumab,NA,Johnson & Johnson
87,Oncology,Non-Small Cell Lung Cancer,osimertinib mesylate,Tagrisso,AstraZeneca
88,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,ramucirumab,Cyramza,Eli Lilly
89,Oncology,Breast Cancer,olaparib,Lynparza,AstraZeneca
90,Oncology,Metastatic Hormone Refractory Prostate Cancer,olaparib,Lynparza,AstraZeneca
91,Oncology,Cervical Cancer,durvalumab,NA,AstraZeneca
91,Oncology,Metastatic Biliary Tract Cancer,durvalumab,NA,AstraZeneca
92,Oncology,Head And Neck Cancer Squamous Cell Carcinoma,durvalumab,NA,AstraZeneca
92,Oncology,Muscle Invasive Bladder Cancer,durvalumab,NA,AstraZeneca
92,Oncology,Ovarian Cancer,durvalumab,NA,AstraZeneca
92,Oncology,Recurrent Head And Neck Cancer Squamous Cell Carcinoma,durvalumab,NA,AstraZeneca
92,Oncology,Transitional Cell Carcinoma,durvalumab,NA,AstraZeneca
93,Oncology,Hepatocellular Carcinoma,durvalumab,NA,AstraZeneca
93,Oncology,Small-Cell Lung Cancer,durvalumab,NA,AstraZeneca
94,Oncology,Non-Small Cell Lung Cancer,durvalumab,NA,AstraZeneca
95,Oncology,Endometrial Cancer,lenvatinib mesylate,NA,Eisai
95,Oncology,Non-Small Cell Lung Cancer,lenvatinib mesylate,NA,Eisai
96,Oncology,Lung Adenocarcinoma,lenvatinib mesylate,NA,Eisai
97,Oncology,Hormone Sensitive Breast Cancer,abemaciclib,Verzenio,Eli Lilly
98,Oncology,Mantle Cell Lymphoma,acalabrutinib,NA,AstraZeneca
99,Oncology,Metastatic Biliary Tract Cancer,telotristat ethyl,NA,Lexicon Pharmaceuticals Inc
100,Oncology,Acute Myelocytic Leukemia,gilteritinib fumarate,NA,Astellas
101,Oncology,Cervical Cancer,cemiplimab,NA,Regeneron Pharmaceuticals Inc
101,Oncology,Non-Small Cell Lung Cancer,cemiplimab,NA,Regeneron Pharmaceuticals Inc
102,Oncology,Acute Myelocytic Leukemia,ivosidenib,NA,Agios Pharmaceuticals Inc
103,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,apatinib mesylate,NA,Elevar therapeutics
103,Oncology,Gastric Cancer,apatinib mesylate,NA,Elevar therapeutics
104,Oncology,Extranodal Marginal Zone B-Cell Lymphoma,copanlisib hydrochloride,NA,Bayer
104,Oncology,Nodal Marginal Zone B-Cell Lymphoma,copanlisib hydrochloride,NA,Bayer
104,Oncology,Splenic Marginal Zone B-Cell Lymphoma,copanlisib hydrochloride,NA,Bayer
105,Oncology,Neuroblastoma,dinutuximab beta,NA,APEIRON Biologics AG
106,Oncology,Gastric Cancer,ipilimumab + nivolumab,NA,Bristol-Myers Squibb Co
106,Oncology,Head And Neck Cancer,ipilimumab + nivolumab,NA,Bristol-Myers Squibb Co
107,Oncology,Malignant Pleural Mesothelioma,ipilimumab + nivolumab,NA,Bristol-Myers Squibb Co
108,Oncology,Esophageal Cancer,ipilimumab + nivolumab,NA,Bristol-Myers Squibb Co
109,Oncology,Non-Small Cell Lung Cancer,ipilimumab + nivolumab,NA,Bristol-Myers Squibb Co
109,Oncology,Transitional Cell Cancer,ipilimumab + nivolumab,NA,Bristol-Myers Squibb Co
110,Oncology,Non-Small Cell Lung Cancer,lorlatinib,NA,Pfizer Inc
111,Oncology,Relapsed Multiple Myeloma,panobinostat,Farydak,Secura Bio Inc
112,Oncology,Acute Myelocytic Leukemia,quizartinib dihydrochloride,NA,Daiichi Sankyo
113,Oncology,Polycythemia Vera,ropeginterferon alfa-2b,NA,PharmaEssentia Corp
114,Oncology,Metastatic Breast Cancer,trastuzumab deruxtecan,NA,Daiichi Sankyo
115,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,trastuzumab deruxtecan,NA,Daiichi Sankyo
115,Oncology,Gastric Cancer,trastuzumab deruxtecan,NA,Daiichi Sankyo
116,Oncology,Metastatic Colorectal Cancer,trastuzumab deruxtecan,NA,Daiichi Sankyo
116,Oncology,Non-Small Cell Lung Cancer,trastuzumab deruxtecan,NA,Daiichi Sankyo
117,Oncology,Chronic Myelocytic Leukemia,asciminib hydrochloride,NA,Novartis
118,Oncology,Gastric Cancer,bemarituzumab,NA,Five Prime Therapeutics Inc
118,Oncology,Gastroesophageal Junction Carcinomas,bemarituzumab,NA,Five Prime Therapeutics Inc
119,Oncology,Triple-Negative Breast Cancer,capivasertib,NA,AstraZeneca
120,Oncology,Hepatocellular Carcinoma,durvalumab + tremelimumab,NA,AstraZeneca
120,Oncology,Small-Cell Lung Cancer,durvalumab + tremelimumab,NA,AstraZeneca
121,Oncology,Metastatic Transitional Tract Cancer,durvalumab + tremelimumab,NA,AstraZeneca
122,Oncology,Bladder Cancer,durvalumab + tremelimumab,NA,AstraZeneca
123,Oncology,Recurrent Head And Neck Cancer Squamous Cell Carcinoma,durvalumab + tremelimumab,NA,AstraZeneca
124,Oncology,Acute Myelocytic Leukemia,guadecitabine sodium,NA,Astex Pharmaceuticals Inc
124,Oncology,Myelodysplastic Syndrome,guadecitabine sodium,NA,Astex Pharmaceuticals Inc
125,Oncology,Bile Duct Cancer,KN-035,NA,Jiangsu Alphamab Biopharmaceuticals Co Ltd
126,Oncology,Diffuse Large B-Cell Lymphoma,lisocabtagene maraleucel,NA,Juno Therapeutics Inc
126,Oncology,Follicular Lymphoma,lisocabtagene maraleucel,NA,Juno Therapeutics Inc
127,Oncology,Acute Myelocytic Leukemia,pevonedistat hydrochloride,NA,Millennium Pharmaceuticals Inc
127,Oncology,Chronic Myelocytic Leukemia,pevonedistat hydrochloride,NA,Millennium Pharmaceuticals Inc
127,Oncology,Myelodysplastic Syndrome,pevonedistat hydrochloride,NA,Millennium Pharmaceuticals Inc
128,Oncology,Recurrent Head And Neck Cancer Squamous Cell Carcinoma,RM-1929,NA,Rakuten Medical Inc
129,Oncology,Metastatic Melanoma,spartalizumab,NA,Novartis
130,Oncology,Solid Tumor,TAS-116,NA,Taiho Pharmaceutical Co Ltd
131,Oncology,Adenocarcinoma Of The Gastroesophageal Junction,zolbetuximab,NA,Astellas
131,Oncology,Gastric Cancer,zolbetuximab,NA,Astellas
132,Oncology,Metastatic Adenocarcinoma of The Pancreas,zolbetuximab,NA,Astellas
133,Oncology,Acute Myelocytic Leukemia,alvocidib hydrochloride,NA,Tolero Pharmaceuticals Inc
134,Oncology,Hematological Tumor,cabiralizumab,NA,Ono Pharmaceutical Co Ltd
134,Oncology,Solid Tumor,cabiralizumab,NA,Ono Pharmaceutical Co Ltd
135,Oncology,Epithelial Ovarian Cancer,farletuzumab,NA,Morphotek Inc
135,Oncology,Fallopian Tube Cancer,farletuzumab,NA,Morphotek Inc
135,Oncology,Peritoneal Cancer,farletuzumab,NA,Morphotek Inc
136,Oncology,Bile Duct Cancer,futibatinib,NA,Taiho Pharmaceutical Co Ltd
137,Oncology,Liposarcoma,milademetan,NA,Daiichi Sankyo
137,Oncology,Lymphoma,milademetan,NA,Daiichi Sankyo
137,Oncology,Solid Tumor,milademetan,NA,Daiichi Sankyo
138,Oncology,Prostate Cancer,MTG-201,NA,MTG Biotherapeutics Inc
139,Oncology,Small-Cell Lung Cancer,NK-012,NA,Nippon Kayaku Co Ltd
139,Oncology,Triple-Negative Breast Cancer,NK-012,NA,Nippon Kayaku Co Ltd
140,Oncology,Myelodysplastic Syndrome,ombipepimut-s,NA,Sumitomo Dainippon Pharma Co Ltd
141,Oncology,Non-Small Cell Lung Cancer,TAS-114,NA,Taiho Pharmaceutical Co Ltd
142,Oncology,Multiple Myeloma,TAS-4464,NA,Taiho Pharmaceutical Co Ltd
142,Oncology,Non-Hodgkin Lymphoma,TAS-4464,NA,Taiho Pharmaceutical Co Ltd
143,Oncology,Solid Tumor,TAS-4464,NA,Taiho Pharmaceutical Co Ltd
144,Oncology,Non-Small Cell Lung Cancer,tepotinib,NA,Merck KGaA
145,Oncology,Metastatic Breast Cancer,U-31402,NA,Daiichi Sankyo
146,Oncology,Non-Small Cell Lung Cancer,U-31402,NA,Daiichi Sankyo
147,Oncology,Non-Small Cell Lung Cancer,DS-1062,NA,Daiichi Sankyo
147,Oncology,Solid Tumor,DS-1062,NA,Daiichi Sankyo
148,Oncology,Solid Tumor,DS-6051,NA,AnHeart Therapeutics Inc
149,Oncology,Endometrial Cancer,MORAb-202,NA,Morphotek Inc
149,Oncology,Solid Tumor,MORAb-202,NA,Morphotek Inc
149,Oncology,Triple-Negative Breast Cancer,MORAb-202,NA,Morphotek Inc
150,Oncology,Epithelial Ovarian Cancer,Prolanta,Prolanta,Oncolix Inc
151,Oncology,Peripheral T-Cell Lymphomas,valemetostat,NA,Daiichi Sankyo
152,Oncology,Solid Tumor,IMM-0207,NA,ImmuneOnco Biopharmaceuticals (Shanghai) Co Ltd
153,Infectious Disease,Gram-Negative Bacterial Infections,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Acinetobacter Infections,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Bacterial Sepsis,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Enterobacteriaceae Infections,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Hospital Acquired Pneumonia,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Klebsiella pneumoniae Infections,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Resistant Pseudomonas aeruginosa Infections,cefiderocol sulfate tosylate,NA,Shionogi Inc
154,Infectious Disease,Ventilator Associated Pneumonia,cefiderocol sulfate tosylate,NA,Shionogi Inc
155,Infectious Disease,Clostridium difficile Infections,PF-06425090,NA,Pfizer Inc
156,Cardiology,Hypotension,angiotensin II acetate,Giapreza,La Jolla Pharmaceutical Company
157,Neurology,Fibromyalgia,pregabalin,Lyrica,Pfizer Inc
157,Neurology,Neuropathic Pain,pregabalin,Lyrica,Pfizer Inc
157,Neurology,Partial Seizure,pregabalin,Lyrica,Pfizer Inc
158,Oncology,Acute Lymphocytic Leukemia,ponatinib hydrochloride,Iclusig,Ariad Pharmaceuticals Inc
158,Oncology,Chronic Myelocytic Leukemia,ponatinib hydrochloride,Iclusig,Ariad Pharmaceuticals Inc
159,Neurology,Osteoarthritis Pain,naproxen sodium,Naprosyn,Atnahs Pharma UK Ltd
159,Neurology,Rheumatoid Arthritis Pain,naproxen sodium,Naprosyn,Atnahs Pharma UK Ltd
160,Neurology,Osteoarthritis Pain,naproxen sodium,Anaprox,Atnahs Pharma UK Ltd
160,Neurology,Rheumatoid Arthritis Pain,naproxen sodium,Anaprox,Atnahs Pharma UK Ltd
161,Neurology,Pain,naproxen sodium,Naprosyn,Atnahs Pharma UK Ltd
162,Neurology,Pain,naproxen sodium,Anaprox,Atnahs Pharma UK Ltd
163,Ophthalmology,Corneal Ulcer,cenegermin,Oxervate,Dompe Farmaceutici SpA
164,Infectious Disease,Skin And Skin Structure Infections Caused By Bacteria,oritavancin diphosphate,Orbactiv,Melinta Therapeutics Inc
165,Infectious Disease,Aspergillosis,voriconazole,Voriconazole,Xellia Pharmaceuticals
165,Infectious Disease,Candidiasis,voriconazole,Voriconazole,Xellia Pharmaceuticals
165,Infectious Disease,Systemic Candidiasis,voriconazole,Voriconazole,Xellia Pharmaceuticals
166,Infectious Disease,Complicated Intra-Abdominal Infections,ampicillin sodium + sulbactam sodium,Ampicillin + Sulbactam,Istituto Biochimico Italiano Giovanni Lorenzini Spa
167,Gastroenterology,Primary Biliary Cholangitis,obeticholic acid,Ocaliva,Intercept Pharmaceuticals Inc
168,Musculoskeletal Disorders,Gouty Arthritis,naproxen sodium,Naprosyn,Atnahs Pharma UK Ltd
169,Musculoskeletal Disorders,Ankylosing Spondylitis,naproxen sodium,Naprosyn,Atnahs Pharma UK Ltd
170,Ophthalmology,Leber Congenital Amaurosis,voretigene neparvovec,Luxturna,Spark Therapeutics Inc
170,Ophthalmology,Retinitis Pigmentosa,voretigene neparvovec,Luxturna,Spark Therapeutics Inc
171,Ophthalmology,Vitreomacular Adhesion,ocriplasmin,Jetrea,ThromboGenics Inc
172,Respiratory,Cystic Fibrosis,aztreonam lysine,Cayston,Gilead Sciences Inc
173,Infectious Disease,Complicated Intra-Abdominal Infections,eravacycline dihydrochloride,Xerava,Tetraphase Pharmaceuticals Inc
174,Neurology,Ocular Pain,ketorolac tromethamine + phenylephrine hydrochloride,Omidria,Omeros Corp
174,Neurology,Post-Operative Pain,ketorolac tromethamine + phenylephrine hydrochloride,Omidria,Omeros Corp
175,Genetic Disorders,Tyrosinemia,nitisinone,Nityr,Cycle Pharmaceuticals Ltd
176,Hematology,Thrombocytopenia,avatrombopag maleate,Doptelet,Dova Pharmaceuticals Inc
177,Hematology,Thrombotic Thrombocytopenic Purpura,caplacizumab,Cablivi,Ablynx NV
178,Hematology,Paroxysmal Nocturnal Hemoglobinuria,ravulizumab,Ultomiris,Alexion Pharmaceuticals Inc
179,Metabolic Disorders,Familial Amyloid Neuropathies,patisiran,Onpattro,Alnylam Pharmaceuticals Inc
180,Musculoskeletal Disorders,Muscle Relaxation,rocuronium bromide,Rocuronium Bromide,Tamarang SA
181,Oncology,Metastatic Breast Cancer,exemestane,Aromasin,Pfizer Inc
182,Oncology,Metastatic Colorectal Cancer,oxaliplatin,Oxaliplatin,Qilu Pharmaceutical Co Ltd
