Abstract_Title,Clinical Trial Details,Date,Disease Statistic,Drug Application,Educational and Research,Endpoints,FDA Review Outcomes,KOL,Late-Breaking Abstracts,New Entries,Preclinical,Recruitment status,Relevance,Session_Title,Treatment Details,Trial Readouts,id,Priority
United States Intergroup E1609: A phase III randomized study of adjuvant ipilimumab (3 or 10 mg/kg) versus high-dose interferon-a2b for resected high-risk melanoma.,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,14,Medium
"IMpassion130: updated overall survival (OS) from a global, randomized, double-blind, placebo-controlled, Phase III study of atezolizumab (atezo) + <em>nab-</em>paclitaxel (nP) in previously untreated locally advanced or metastatic triple-negative breast cancer (mTNBC).",1,04-06-2019,0,0,0,1,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,15,Medium
Pathological response and survival with neoadjuvant therapy in melanoma: A pooled analysis from the International Neoadjuvant Melanoma Consortium (INMC).,0,04-06-2019,0,0,1,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,16,Low
First-line therapy of T-cell lymphoma: Allogeneic or autologous transplantation for consolidationFinal results of the AATT study.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,1,17,High
A multicenter analysis of melanoma recurrence following adjuvant anti-PD1 therapy.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,18,Ignore
"Neratinib + capecitabine versus lapatinib + capecitabine in patients with HER2+ metastatic breast cancer previously treated with = 2 HER2-directed regimens: Findings from the multinational, randomized, phase III NALA trial.",1,04-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,19,Medium
Pyrotinib combined with capecitabine in women with HER2+ metastatic breast cancer previously treated with trastuzumab and taxanes: A randomized phase III study.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,20,Ignore
"Effect of fixed-duration venetoclax plus obinutuzumab (VenG) on progression-free survival (PFS), and rates and duration of minimal residual disease negativity (MRD) in previously untreated patients (pts) with chronic lymphocytic leukemia (CLL) and comorbidities.",0,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,21,Medium
Efficacy and safety of the combination of nivolumab (NIVO) plus ipilimumab (IPI) in patients with symptomatic melanoma brain metastases (CheckMate 204).,0,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,22,Medium
"TRANSCEND CLL 004: Minimal residual disease (MRD) negative responses after lisocabtagene maraleucel (Liso-Cel; JCAR017), a CD19-directed CAR T cell product, in patients (pts) with relapsed/refractory chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL).",0,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,23,Medium
SOPHIA primary analysis: A phase 3 (P3) study of margetuximab (M) + chemotherapy (C) versus trastuzumab (T) + C in patients (pts) with HER2+ metastatic (met) breast cancer (MBC) after prior anti-HER2 therapies (Tx).,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerMetastatic,0,0,24,Medium
Acalabrutinib with obinutuzumab (Ob) in treatment-naive (TN) and relapsed/refractory (R/R) chronic lymphocytic leukemia (CLL): Three-year follow-up.,0,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Hematologic MalignanciesLymphoma and Chronic Lymphocytic Leukemia,0,0,25,Ignore
Regional delivery of mesothelin-targeted CAR T cells for pleural cancers: Safety and preliminary efficacy in combination with anti-PD-1 agent.,0,04-06-2019,0,0,0,1,0,0,0,0,0,0,0,"The Who, What, and Where of CAR T",0,0,26,Medium
Phase 3 international trial of adjuvant whole brain radiotherapy (WBRT) or observation (Obs) following local treatment of 1-3 melanoma brain metastases (MBMs).,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,Melanoma/Skin Cancers,0,0,27,Medium
Phase I trial of Claudin 18.2-specific chimeric antigen receptor T cells for advanced gastric and pancreatic adenocarcinoma.,1,04-06-2019,0,0,0,0,0,0,0,0,0,0,0,"The Who, What, and Where of CAR T",0,0,28,Medium
Reduced 90-day postoperative mortality through geriatric comanagement after cancer surgery.,0,03-06-2019,1,0,0,0,0,0,0,0,0,0,0,Geriatric Oncology: Innovative Approaches Leading to Improved Outcomes,0,0,29,Low
A phase I study of convection-enhanced delivery of <sup>124</sup>I-8H9 radio-labeled monoclonal antibody in children with diffuse intrinsic pontine glioma: An update with dose-response assessment.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,30,Medium
EWOC-1: A randomized trial to evaluate the feasibility of three different first-line chemotherapy regimens for vulnerable elderly women with ovarian cancer (OC): A GCIG-ENGOT-GINECO study.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,31,Ignore
Trabectedin for recurrent WHO grade II or III meningioma: A randomized phase II study of the EORTC Brain Tumor Group (EORTC-1320-BTG).,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,32,Medium
Outcomes that matter to patients: The Geriatric Oncology Surgical Assessment and Functional rEcovery after Surgery (GOSAFE) studyAnalysis of 471 patients.,0,03-06-2019,0,0,1,0,0,0,0,0,0,0,0,Geriatric Oncology: Innovative Approaches Leading to Improved Outcomes,0,0,33,Low
Randomized phase II CLIO study on olaparib monotherapy versus chemotherapy in platinum-resistant ovarian cancer.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,34,Medium
Activity of larotrectinib in TRK fusion cancer patients with brain metastases or primary central nervous system tumors.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,35,Ignore
Olaparib monotherapy versus (vs) chemotherapy for germline BRCA-mutated (gBRCAm) platinum-sensitive relapsed ovarian cancer (PSR OC) patients (pts): Phase III SOLO3 trial.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,36,Medium
Validating the Cancer and Aging Research Group (CARG) toxicity prediction tool in older men receiving chemotherapy for metastatic castration-resistant prostate cancer (mCRPC) and extending it to androgen receptor targeted agents.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Geriatric Oncology: Innovative Approaches Leading to Improved Outcomes,0,0,37,Ignore
Combination of niraparib and bevacizumab versus niraparib alone as treatment of recurrent platinum-sensitive ovarian cancer. A randomized controlled chemotherapy-free studyNSGO-AVANOVA2/ENGOT-OV24.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,38,Ignore
Efficacy and safety of selinexor in recurrent glioblastoma.,0,03-06-2019,0,0,0,1,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,39,Medium
Predictive factors of grade 3-5 toxicity in older patients with cancer treated with chemotherapy: A prospective multicenter study.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Geriatric Oncology: Innovative Approaches Leading to Improved Outcomes,0,0,40,Ignore
Phase I study of a brain penetrant mutant IDH1 inhibitor DS-1001b in patients with recurrent or progressive <em>IDH1</em> mutant gliomas.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,41,Medium
Recurrence rates in cervical cancer patients treated with abdominal versus minimally invasive radical hysterectomy: A multi-institutional analysis of 700 cases.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,42,Ignore
"A phase I, open label, perioperative study of AG-120 and AG-881 in recurrent IDH1 mutant, low-grade glioma: Results from cohort 1.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,43,Medium
"Results from neoadjuvant chemotherapy followed by surgery compared to chemoradiation for stage Ib2-IIb cervical cancer, EORTC 55994.",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,44,Ignore
Updated predictive analysis of the WHO-defined molecular subgroups of low-grade gliomas within the high-risk treatment arms of NRG Oncology/RTOG 9802.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,45,Ignore
Evaluating unconscious bias: Speaker introductions at an international oncology conference.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Education Research and Workplace Inequities,0,0,46,Ignore
Survey of sexual harassment and gender disparities among gynecologic oncologists.,0,03-06-2019,0,0,0,0,0,0,1,0,0,0,0,Education Research and Workplace Inequities,0,0,47,High
"Phase 2, two-group, two-stage study of avelumab in patients (pts) with microsatellite stable (MSS), microsatellite instable (MSI), and polymerase epsilon (POLE) mutated recurrent/persistent endometrial cancer (EC).",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,48,Medium
Randomized phase IIb clinical trial of continuation or non-continuation with six cycles of temozolomide after the first six cycles of standard first-line treatment in patients with glioblastoma: A Spanish research group in neuro-oncology (GEINO) trial.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,49,Medium
Activity of durvalumab in advanced endometrial cancer (AEC) according to mismatch repair (MMR) status: The phase II PHAEDRA trial (ANZGOG1601).,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,50,Ignore
Which factors are influencing good digital education? Analysis on ecancer programs from major international congresses.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Education Research and Workplace Inequities,0,0,51,Ignore
Second interim and first molecular analysis of the EORTC randomized phase III intergroup CATNON trial on concurrent and adjuvant temozolomide in anaplastic glioma without 1p/19q codeletion.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Central Nervous System Tumors,0,0,52,Medium
"A randomized phase 3 trial of paclitaxel (P) plus carboplatin  (C) versus paclitaxel plus ifosfamide (I) in chemotherapy-naive patients with stage I-IV, persistent or recurrent carcinosarcoma of the uterus or ovary: An NRG oncology trial.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Gynecologic Cancer,0,0,53,Medium
Feasibility of implementing a resident oncology video curriculum.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Education Research and Workplace Inequities,0,0,54,Ignore
"A phase II randomized study of CMB305 and atezolizumab versus atezolizumab in NY-ESO-1<sup>+</sup> soft tissue sarcoma: Analysis of immunogenicity, tumor control, and patient survival.",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Emerging Combinations in Sarcoma Immunotherapy,0,0,55,Ignore
TBCRC 030: A randomized phase II study of preoperative cisplatin versus paclitaxel in TNBCEvaluating the homologous recombination deficiency (HRD) biomarker.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,56,Medium
"Patient-reported outcomes (PROs) in NRG oncology/NSABP B-39/RTOG 0413: A randomized phase III study of conventional whole breast irradiation (WBI) versus<em> </em>partial breast irradiation (PBI) in stage 0, I, or II breast cancer.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,57,Medium
Pilot study of NKTR214 and nivolumab in patients with sarcomas.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Emerging Combinations in Sarcoma Immunotherapy,0,0,58,Ignore
GeparOLA: A randomized phase II trial to assess the efficacy of paclitaxel and olaparib in comparison to paclitaxel/carboplatin followed by epirubicin/cyclophosphamide as neoadjuvant chemotherapy in patients (pts) with HER2-negative early breast cancer (BC) and homologous recombination deficiency (HRD).,1,03-06-2019,0,0,0,1,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,59,Medium
Ten-fold increase in genetic testing in pancreatic and metastatic prostate cancer with implementation of point of care (POC) testing.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,60,Ignore
Relative risks of prostate cancer associated with different family cancer histories.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,61,Ignore
Trans-aTTom: Breast Cancer Index for prediction of endocrine benefit and late distant recurrence (DR) in patients with HR+ breast cancer treated in the adjuvant tamoxifenTo offer more? (aTTom) trial.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,62,Ignore
"Benefit from letrozole as extended adjuvant therapy after sequential endocrine therapy: A randomized, phase III study of Gruppo Italiano Mammella (GIM).",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,63,Medium
Breast radiotherapy among <em>ATM</em>-mutation carriers.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,64,Ignore
Impact of clinical risk category on prognosis and prediction of chemotherapy benefit in early breast cancer (EBC) by age and the 21-gene recurrence score (RS) in TAILORx.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,65,Ignore
"Risk of subsequent cancer diagnosis in patients treated with 3D conformal, intensity modulated, or proton beam radiation therapy.",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,66,Ignore
Real-world outcomes of patients with advanced non-small cell lung cancer (aNSCLC) and autoimmune disease (AD) receiving immune checkpoint inhibitors (ICIs).,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Using Real-World Data to Advance Research and Care,0,0,67,Ignore
"Outcomes after adjuvant radiotherapy in breast cancer patients with and without germline mutations: A large, single-institutional experience.",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,68,Ignore
"Phase 1/2 trial of FF-10502-01, a pyrimidine antimetabolite, in patients with advanced cholangiocarcinoma and solid tumors.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,69,Medium
"Clinical activity and tolerability of BLU-667, a highly potent and selective RET inhibitor, in patients (pts) with advanced RET-fusion+ non-small cell lung cancer (NSCLC).",0,03-06-2019,0,0,1,1,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Metastatic,0,0,70,Medium
Cytoreductive nephrectomy (CN) in metastatic renal cancer (mRCC): Update on Carmena trial with focus on intermediate IMDC-risk population.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,71,Ignore
Phase II trial of gemcitabine (G) with pazopanib (P) or gemcitabine with docetaxel (T) in advanced soft tissue sarcoma (STS).,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,72,Medium
Association of baseline cardiovascular risk factors and health care utilization and costs in elderly breast cancer patients enrolled in SWOG clinical trials.,0,03-06-2019,0,0,0,0,0,0,0,0,0,1,1,Symptoms and Survivorship,0,0,73,Medium
First-in-human trial of the oral ataxia telangiectasia and Rad3-related (ATR) inhibitor BAY 1895344 in patients (pts) with advanced solid tumors.,0,03-06-2019,0,0,0,0,0,0,0,1,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,74,High
Randomized trial of adjuvant chemotherapy versus adjuvant radiation therapy for locally advanced bladder cancer after radical cystectomy.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,75,Ignore
Antitumor activity of TAK-788 in NSCLC with EGFR exon 20 insertions.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Metastatic,0,0,76,Ignore
"Results of the first interim assessment of rEECur, an international randomized controlled trial of chemotherapy for the treatment of recurrent and primary refractory Ewing sarcoma.",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,77,Ignore
Effects of exercise on cancer-related fatigue and muscular strength in patients with breast cancer.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Symptoms and Survivorship,0,0,78,Ignore
A predictive model for survival in non-small cell lung cancer (NSCLC) based on electronic health record (EHR) and tumor sequencing data at the Department of Veterans Affairs (VA).,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Using Real-World Data to Advance Research and Care,0,0,79,Ignore
HER2 heterogeneity as a predictor of response to neoadjuvant T-DM1 plus pertuzumab: Results from a prospective clinical trial.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,80,Ignore
Talazoparib beyond BRCA: A phase II trial of talazoparib monotherapy in <em>BRCA1</em> and <em>BRCA2</em> wild-type patients with advanced HER2-negative breast cancer or other solid tumors with a mutation in homologous recombination (HR) pathway genes.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,81,Medium
"SWOG S1314: A randomized phase II study of co-expression extrapolation (COXEN) with neoadjuvant chemotherapy for localized, muscle-invasive bladder cancer.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,82,Medium
Safety of pregnancy following breast cancer (BC) in patients (pts) carrying a <em>BRCA</em> mutation (<em>mBRCA</em>): Results of an international cohort study.,0,03-06-2019,0,0,0,1,0,0,0,0,0,0,1,Symptoms and Survivorship,0,0,83,Medium
Activity and safety of cabozantinib in patients with gastrointestinal stromal tumor after failure of imatinib and sunitinib: EORTC phase II trial 1317 CaboGIST.,0,03-06-2019,0,0,0,1,0,0,0,0,0,0,0,Sarcoma,0,0,84,Medium
"Docetaxel, trastuzumab, pertuzumab versus trastuzumab emtansine as neoadjuvant treatment of HER2-positive breast cancer: Results from the Swedish PREDIX HER2 trial identifying a new potential de-escalation standard?",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,85,Ignore
Impact of a breast cancer (BC) polygenic risk score (PRS) on the decision to take preventive endocrine therapy (ET): The Genetic Risk Estimate (GENRE) trial.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,86,Ignore
Impact of broadening clinical trial eligibility criteria for advanced non-small cell lung cancer patients: Real-world analysis.,0,03-06-2019,0,0,0,0,0,0,1,0,0,0,0,Using Real-World Data to Advance Research and Care,0,0,87,High
"Neoadjuvant trastuzumab (H), pertuzumab (P), and chemotherapy versus trastuzumab emtansine (T-DM1) and P in human epidermal growth factor receptor 2 (HER2)-positive breast cancer (BC): Final outcome results from the phase III KRISTINE study.",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,1,Breast CancerLocal/Regional/Adjuvant,0,0,88,Ignore
Effect modifiers in a randomized phase III trial of low-dose tamoxifen in breast preinvasive disease.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,"Cancer Prevention, Hereditary Genetics, and Epidemiology",0,0,89,Medium
Single agent ONC201 in adult recurrent H3 K27M-mutant glioma.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,90,Ignore
EV-201: Results of enfortumab vedotin monotherapy for locally advanced or metastatic urothelial cancer previously treated with platinum and immune checkpoint inhibitors.,0,03-06-2019,0,0,0,0,0,0,1,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,91,High
Phase II study of tepotinib in NSCLC patients with <em>MET</em>ex14 mutations.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Metastatic,0,0,92,Medium
"ABI-009 (<em>nab</em>-sirolimus) in advanced malignant perivascular epithelioid cell tumors (PEComa): Preliminary efficacy, safety, and mutational status from AMPECT, an open label phase II registration trial.",0,03-06-2019,0,0,0,1,0,0,0,0,0,0,0,Sarcoma,0,0,93,Medium
Randomized controlled trial (RCT) of a patient navigation (PN) intervention to increase early access to supportive care (SC) for patients with metastatic cancer in a resource-limited setting.,0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Symptoms and Survivorship,0,0,94,Ignore
"First-in-human phase 1 study of ABBV-085, an antibody-drug conjugate (ADC) targeting LRRC15, in sarcomas and other advanced solid tumors.",1,03-06-2019,0,0,0,0,0,0,0,1,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,95,High
Randomized double-blind phase II study of maintenance pembrolizumab versus placebo after first-line chemotherapy in patients (pts) with metastatic urothelial cancer (mUC): HCRN GU14-182.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,96,Medium
Capmatinib (INC280) in <em>MET<U+0394>ex14</em>-mutated advanced non-small cell lung cancer (NSCLC): Efficacy data from the phase II GEOMETRY mono-1 study.,0,03-06-2019,0,0,0,1,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Metastatic,0,0,97,Medium
Phase 2 study of the CDK4 inhibitor abemaciclib in dedifferentiated liposarcoma.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,98,Medium
Olanzapine (OLN) versus aprepitant (APR) in patients receiving high-emetogenic chemotherapy: Final results of randomized phase II trial.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Symptoms and Survivorship,0,1,99,High
"Phase 1 study evaluating the safety, tolerability, pharmacokinetics (PK), and efficacy of AMG 510, a novel small molecule <em>KRAS<sup>G12C</sup></em> inhibitor, in advanced solid tumors.",1,03-06-2019,0,0,0,1,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,100,Medium
"CALGB 90601 (Alliance): Randomized, double-blind, placebo-controlled phase III trial comparing gemcitabine and cisplatin with bevacizumab or placebo in patients with metastatic urothelial carcinoma.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,101,Medium
"A randomized, double-blind, placebo-controlled phase III trial evaluating olanzapine 5 mg combined with standard antiemetic therapy for the prevention of chemotherapy-induced nausea and vomiting in patients receiving cisplatin-based chemotherapy: J-FORCE Study.",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Symptoms and Survivorship,0,0,102,Medium
"Safety and efficacy of tazemetostat, a first-in-class EZH2 inhibitor, in patients (pts) with epithelioid sarcoma (ES) (NCT02601950).",0,03-06-2019,0,0,0,1,0,0,0,1,0,0,0,Sarcoma,0,0,103,High
"A randomized phase III study of continuous maintenance bevacizumab with or without pemetrexed after induction therapy with carboplatin (Car), pemetrexed (Pem), and bevacizumab (Bev) for advanced non-squamous non-small cell lung cancer (nSQ-NSCLC) without sensitizing EGFR mutations: The COMPASS study (WJOG5610L).",1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Metastatic,0,0,104,Medium
"A phase I dose escalation (DE) study of ERK inhibitor, LY3214996, in advanced (adv) cancer (CA) patients (pts).",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Developmental Therapeutics and Tumor Biology (Nonimmuno),0,0,105,Ignore
Phase III randomized trial comparing gefitinib to gefitinib with pemetrexed-carboplatin chemotherapy in patients with advanced untreated EGFR mutant non-small cell lung cancer (gef vs gef+C).,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Lung CancerNon-Small Cell Metastatic,0,0,106,Medium
"A pilot randomized study evaluating nivolumab (nivo) or nivo + bevacizumab (bev) or nivo + ipilimumab (ipi) in patients with metastatic renal cell carcinoma (MRCC) eligible for cytoreductive nephrectomy, metastasectomy or post-treatment biopsy (Bx).",0,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Genitourinary (Nonprostate) Cancer,0,0,107,Ignore
STRASS (EORTC 62092): A phase III randomized study of preoperative radiotherapy plus surgery versus surgery alone for patients with retroperitoneal sarcoma.,1,03-06-2019,0,0,0,0,0,0,0,0,0,0,0,Sarcoma,0,0,108,Medium
