id,Indication
293,gastroesophageal junction cancer
293,adenocarcinoma
294,squamous cell carcinoma
294,tumors
294,lung cancer
295,gastroesophageal junction cancer
295,adenocarcinoma
296,cancer
297,genitourinary cancer
297,rcc
298,blood disorder
298,myelodysplastic syndrome
298,leukemia
299,melanoma
299,skin cancer
301,oncology
301,non-small cell lung cancer
304,gastroesophageal junction cancer
304,adenocarcinoma
305,oncology
306,squamous cell carcinoma
306,tumors
306,lung cancer
307,cancer
308,genitourinary cancer
308,transitional cell carcinoma
309,blood disorder
309,myelodysplastic syndrome
309,aml
310,melanoma
310,skin cancer
312,oncology
313,cancer
314,central nervous system
314,brain cancer
314,tumors
315,gynecologic cancer
315,ovarian cancer
316,cancer
317,oncology
318,lung cancer
318,non-small cell lung cancer
319,breast cancer
319,cancer
320,oncology
321,oncology
323,oncology
324,lung cancer
324,non-small cell lung cancer
325,blood disorder
325,hodgkin lymphoma
325,chronic lymphocytic leukemia
326,breast cancer
326,cancer
328,oncology
330,lung cancer
330,non-small cell lung cancer
331,blood disorder
331,hodgkin lymphoma
331,chronic lymphocytic leukemia
333,sarcoma
333,angiosarcoma
334,breast cancer
334,cancer
336,central nervous system
336,tumors
337,gynecologic cancer
337,cervical cancer
338,blood disorder
338,multiple myeloma
338,dyscrasia
340,tumors
341,blood disorder
341,dyscrasia
342,depression
342,oncology
343,small-cell lung cancer
343,lung cancer
343,cancer
343,mesothelioma
343,small cell carcinoma
344,uterine cancer
344,gynecologic cancer
345,sarcoma
347,central nervous system
347,tumors
349,blood disorder
349,dyscrasia
350,oncology
350,depression
351,lung cancer
351,mesothelioma
351,cancer
351,small cell carcinoma
352,tumors
353,sarcoma
354,cancer
355,depression
355,oncology
356,lung cancer
356,cancer
356,mesothelioma
356,small cell carcinoma
357,sarcoma
358,rectal cancer
360,cancer
361,blood disorder
361,dyscrasia
361,amyloidosis
362,cancer
363,blood disorder
363,chronic lymphocytic leukemia
364,tumors
364,sarcoma
365,breast cancer
365,triple-negative breast cancer
366,oncology
368,blood disorder
368,chronic lymphocytic leukemia
369,cancer
370,cancer
371,sarcoma
371,skin rash
372,cancer
373,cancer
373,prostate cancer
374,blood disorder
374,follicular lymphoma
374,chronic lymphocytic leukemia
375,gynecologic cancer
375,ovarian cancer
377,oncology
379,sarcoma
380,cancer
381,cancer
382,gynecologic cancer
382,ovarian cancer
383,kidney cancer
384,oncology
384,cancer
385,colorectal cancer
385,cancer
387,blood disorder
387,chronic lymphocytic leukemia
387,cll
389,breast cancer
390,cancer
392,tumors
393,genitourinary cancer
393,kidney cancer
394,lung cancer
395,sarcoma
396,cancer
396,breast cancer
398,central nervous system
398,tumors
398,glioma
398,low grade glioma
399,cancer
399,oncology
401,breast cancer
403,central nervous system
403,tumors
403,glioma
403,low grade glioma
404,cancer
406,cancer
406,oncology
409,central nervous system
409,tumors
409,glioma
409,low grade glioma
413,lung cancer
414,central nervous system
414,tumors
414,glioma
414,low grade glioma
415,blood disorder
415,multiple myeloma
415,dyscrasia
416,cancer
416,oncology
418,lung cancer
419,oncology
419,cancer
420,oncology
421,acute myeloid leukemia
421,tumors
421,oncology
421,blood disorder
421,myelodysplastic syndrome
422,male breast cancer
422,breast cancer
423,oncology
423,lung cancer
424,tumors
425,genitourinary cancer
425,metastatic renal cell carcinoma
426,sarcoma
429,oncology
430,acute myeloid leukemia
430,tumors
430,oncology
430,blood disorder
430,myelodysplastic syndrome
431,breast cancer
432,oncology
432,prostate cancer
432,lung cancer
434,blood disorder
434,dyscrasia
435,oncology
436,oncology
437,central nervous system
437,tumors
437,glioblastoma
438,acute myeloid leukemia
438,tumors
438,oncology
438,blood disorder
438,myelodysplastic syndrome
439,breast cancer
442,colorectal cancer
442,oncology
442,lung cancer
444,tumors
445,breast cancer
446,central nervous system
446,tumors
446,brain cancer
447,lung cancer
448,gastric cancer
449,gynecologic cancer
449,cervical cancer
450,urothelial cancer
450,tumors
451,oncology
452,oncology
453,head and neck cancer
454,cancer
454,dysplasia
454,cervical cancer
454,gynecologic cancer
455,gynecologic cancer
455,cervical cancer
456,gastric cancer
457,urothelial cancer
457,tumors
458,oncology
459,breast cancer
460,central nervous system
460,tumors
460,glioma
461,lung cancer
462,oncology
463,head and neck cancer
464,cancer
464,gynecologic cancer
464,cervical cancer
465,gynecologic cancer
466,gastric cancer
467,urothelial cancer
467,tumors
468,breast cancer
469,oncology
470,central nervous system
470,tumors
470,brain cancer
471,gynecologic cancer
472,tumors
472,lung cancer
473,lung cancer
473,non-small cell lung cancer
474,tumors
474,gastric cancer
475,urothelial cancer
475,tumors
476,blood disorder
476,mantle cell lymphoma
476,chronic lymphocytic leukemia
477,oncology
478,oncology
479,cancer
479,gynecologic cancer
480,head and neck cancer
481,breast cancer
482,central nervous system
482,tumors
482,brain cancer
483,oncology
484,lung cancer
485,oncology
486,oncology
487,oncology
489,oncology
489,tumors
490,oncology
491,cancer
492,lung cancer
492,mesothelioma
492,thoracic tumor
493,cancer
494,breast cancer
495,cancer
495,prostate cancer
496,metastatic renal cell carcinoma
498,blood disorder
498,dyscrasia
499,breast cancer
500,prostate cancer
501,lung cancer
501,small-cell lung cancer
501,thoracic tumor
502,metastatic renal cell carcinoma
503,cancer
504,breast cancer
506,lung cancer
506,non-small cell lung cancer
506,thoracic tumor
507,oncology
507,cancer
508,prostate cancer
509,cancer
510,melanoma
510,skin cancer
511,metastatic renal cell carcinoma
512,oncology
513,gynecologic cancer
513,oncology
514,prostate cancer
514,cancer
517,blood disorder
517,dyscrasia
518,breast cancer
519,tumors
520,oncology
520,cancer
521,lung cancer
521,thoracic tumor
522,cancer
523,cancer
523,oncology
524,cancer
525,cancer
525,oncology
526,gynecologic cancer
526,sarcoma
526,oncology
527,oncology
528,tumors
529,melanoma
529,skin cancer
530,cancer
531,blood disorder
531,dyscrasia
531,multiple myeloma
532,cancer
532,oncology
533,gynecologic cancer
533,sarcoma
534,cancer
534,oncology
536,tumors
537,melanoma
537,skin cancer
538,cancer
538,oncology
539,gynecologic cancer
539,sarcoma
540,cancer
540,oncology
541,cancer
543,tumors
544,oncology
544,cancer
545,gynecologic cancer
545,sarcoma
546,melanoma
546,skin cancer
547,cancer
547,oncology
548,head and neck cancer
549,gynecologic cancer
549,ovarian cancer
552,melanoma
552,skin cancer
552,mucosal melanoma
553,oncology
553,cancer
553,tumors
554,oncology
554,depression
554,cancer
555,cancer
555,gynecologic cancer
555,head and neck cancer
556,blood disorder
556,newly diagnosed multiple myeloma
556,dyscrasia
558,colorectal cancer
559,gynecologic cancer
560,oncology
561,tumors
562,head and neck cancer
564,oncology
564,cancer
565,oncology
565,cancer
565,tumors
566,melanoma
566,skin cancer
566,merkel cell carcinoma
567,genitourinary cancer
568,cancer
568,gynecologic cancer
568,head and neck cancer
570,blood disorder
570,newly diagnosed multiple myeloma
570,dyscrasia
571,colorectal cancer
572,oncology
572,cancer
573,melanoma
573,skin cancer
573,basal cell carcinoma
574,oncology
574,cancer
574,tumors
575,head and neck cancer
576,cancer
576,gynecologic cancer
576,head and neck cancer
577,gynecologic cancer
577,endometrial cancer
578,head and neck cancer
580,oncology
580,cancer
582,melanoma
582,skin cancer
582,cutaneous squamous cell carcinoma
583,blood disorder
583,newly diagnosed multiple myeloma
583,dyscrasia
584,cancer
584,tumors
585,colorectal cancer
586,blood disorder
586,myelodysplastic syndrome
587,cancer
587,gynecologic cancer
587,head and neck cancer
590,cancer
591,thoracic tumor
593,genitourinary cancer
593,prostate cancer
594,gynecologic cancer
595,head and neck cancer
596,blood disorder
596,myelodysplastic syndrome
597,central nervous system
597,tumors
597,cns lymphoma
597,oncology
597,blood disorder
597,chronic lymphocytic leukemia
598,cancer
599,cancer
599,sarcoma
599,rare disease
600,cancer
601,gynecologic cancer
601,ovarian cancer
602,genitourinary cancer
603,central nervous system
603,tumors
603,cns lymphoma
603,oncology
603,blood disorder
603,chronic lymphocytic leukemia
604,head and neck cancer
605,cancer
605,sarcoma
607,breast cancer
608,genitourinary cancer
609,head and neck cancer
610,gynecologic cancer
611,central nervous system
611,tumors
611,cns lymphoma
611,oncology
611,blood disorder
611,chronic lymphocytic leukemia
613,breast cancer
613,stage
615,breast cancer
615,cancer
616,cancer
616,sarcoma
617,central nervous system
617,tumors
617,cns lymphoma
617,oncology
617,blood disorder
617,chronic lymphocytic leukemia
618,breast cancer
619,cancer
620,blood disorder
620,leukemia
620,myelodysplastic syndrome
621,genitourinary cancer
622,gynecologic cancer
623,head and neck cancer
623,head and neck squamous cell carcinoma
625,tumors
626,sarcoma
627,melanoma
627,skin cancer
628,breast cancer
629,cancer
630,tumors
631,sarcoma
632,aml
632,blood disorder
632,myelodysplastic syndrome
633,melanoma
633,skin cancer
634,lung cancer
634,small-cell lung cancer
634,thoracic tumor
635,breast cancer
636,tumors
637,sarcoma
638,oncology
639,melanoma
639,skin cancer
641,oncology
643,tumors
644,sarcoma
644,bone sarcoma
646,oncology
647,lung cancer
647,thoracic tumor
648,tumors
649,oncology
651,tumors
652,cancer
652,solid tumor
652,tumors
653,blood disorder
653,lymphoma
653,chronic lymphocytic leukemia
654,colon cancer
655,breast cancer
655,cancer
656,breast cancer
656,cancer
656,triple-negative breast cancer
656,gynecologic cancer
657,cancer
658,lung cancer
658,thoracic tumor
660,oncology
660,solid tumor
661,cancer pain
662,tumors
663,cancer
663,solid tumor
663,tumors
664,blood disorder
664,lymphoma
664,chronic lymphocytic leukemia
665,colon cancer
666,breast cancer
666,cancer
667,breast cancer
667,cancer
667,pancreatic cancer
667,gynecologic cancer
669,cancer pain
670,cancer
670,solid tumor
670,tumors
671,cancer
672,blood disorder
672,lymphoma
672,chronic lymphocytic leukemia
673,colon cancer
675,breast cancer
675,cancer
676,lynch syndrome
676,breast cancer
676,cancer
676,colorectal cancer
676,gynecologic cancer
677,cancer pain
677,oncology
678,tumors
679,oncology
681,cancer
685,breast cancer
687,breast cancer
692,gynecologic cancer
692,oncology
692,cancer
693,melanoma
693,skin cancer
694,lung cancer
694,non-small cell lung cancer
695,cancer
695,anal carcinoma
696,breast cancer
696,cancer
697,breast cancer
697,nodal disease
699,clonal hematopoiesis
699,tumors
699,blood disorder
699,myelodysplastic syndrome
700,breast cancer
700,nodal disease
701,breast cancer
701,nodal disease
702,gynecologic cancer
702,oncology
703,melanoma
703,skin cancer
704,lung cancer
705,breast cancer
705,cancer
706,clonal hematopoiesis
706,tumors
706,blood disorder
706,myelodysplastic syndrome
708,breast cancer
708,nodal disease
709,gynecologic cancer
709,oncology
710,melanoma
710,skin cancer
711,lung cancer
712,breast cancer
712,cancer
713,cancer
713,anal carcinoma
714,breast cancer
714,nodal disease
716,cancer
716,gynecologic cancer
716,oncology
717,melanoma
717,skin cancer
718,central nervous system
718,tumors
718,blood disorder
718,myelodysplastic syndrome
718,oncology
719,allergy
719,lung cancer
720,breast cancer
720,cancer
721,clonal hematopoiesis
721,tumors
721,blood disorder
721,myelodysplastic syndrome
722,breast cancer
722,nodal disease
723,head and neck cancer
723,squamous cell carcinoma
724,cancer
724,anal carcinoma
725,oncology
726,oncology
727,oncology
728,genitourinary cancer
730,oncology
731,tumors
733,cytokine release syndrome
733,blood disorder
733,myelodysplastic syndrome
734,tumors
735,head and neck cancer
737,neurotoxicity
737,cytokine release syndrome
737,blood disorder
737,myelodysplastic syndrome
738,tumors
740,metastatic breast cancer
741,non-small cell lung cancer
741,lung cancer
742,cytokine release syndrome
742,blood disorder
742,myelodysplastic syndrome
743,tumors
744,colon cancer
744,cancer
744,oncology
745,genitourinary cancer
747,head and neck cancer
747,nasopharyngeal cancer
748,aml
748,oncology
749,oncology
749,cancer
750,oncology
750,cancer
752,cancer
753,cancer
753,tumors
753,lung cancer
754,lung cancer
755,multiple myeloma
755,myeloma
755,blood disorder
755,dyscrasia
756,genitourinary cancer
757,head and neck cancer
758,cancer
759,cancer
759,tumors
759,lung cancer
760,tumors
760,lung cancer
761,oncology
761,solid tumor
762,acute myeloid leukemia
762,tumors
762,blood disorder
762,myelodysplastic syndrome
763,lung cancer
764,multiple myeloma
764,myeloma
764,blood disorder
764,dyscrasia
765,tumors
765,lung cancer
766,cancer
766,tumors
766,lung cancer
767,cancer
768,tumors
768,blood disorder
768,myelodysplastic syndrome
769,cancer
770,lung cancer
771,cancer
771,tumors
771,non-small cell lung cancer
771,lung cancer
772,multiple myeloma
772,myeloma
772,blood disorder
772,dyscrasia
773,tumors
773,lung cancer
775,cancer
776,lung cancer
778,oncology
779,head and neck cancer
779,oropharyngeal cancer
780,prostate cancer
781,oncology
781,multiple myeloma
781,blood disorder
781,dyscrasia
783,cancer
785,lung cancer
786,oncology
787,prostate cancer
788,oncology
788,myeloma
788,multiple myeloma
788,blood disorder
788,dyscrasia
789,cancer
792,oncology
793,prostate cancer
794,oncology
794,multiple myeloma
794,blood disorder
794,dyscrasia
795,oncology
795,cancer
797,head and neck cancer
797,oropharyngeal cancer
798,lung cancer
798,non-small cell lung cancer
799,oncology
799,cancer
800,prostate cancer
801,oncology
801,newly diagnosed multiple myeloma
801,multiple myeloma
801,blood disorder
801,dyscrasia
802,oncology
802,cancer
803,tumors
803,blood disorder
803,myelodysplastic syndrome
805,cancer
805,oncology
808,oncology
810,oncology
810,melanoma
811,oncology
813,cancer
813,oncology
814,pancreatic cancer
816,oncology
816,metastatic non-small cell lung cancer
817,prostate cancer
818,cancer
819,oncology
819,solid tumor
820,tumors
821,oncology
821,acute myeloid leukemia
822,cancer
824,cancer
825,oncology
826,blood cancer
827,tumors
828,oncology
830,cancer
832,oncology
834,cancer
835,oncology
836,cancer
837,cancer
838,oncology
840,head and neck cancer
842,oncology
843,melanoma
843,skin cancer
845,oncology
846,cancer
846,oncology
847,oncology
848,gynecologic cancer
849,oncology
850,cancer
851,tumors
852,cancer
854,oncology
856,cancer
858,oncology
859,non-hodgkin lymphoma
860,sarcoma
861,lung cancer
861,metastatic non-small cell lung cancer
862,tumors
863,genitourinary cancer
863,kidney cancer
863,metastatic renal cell carcinoma
863,metastasectomy
864,lung cancer
864,metastatic non-small cell lung cancer
864,non squamous nsclc
865,sarcoma
865,non-rhabdomyosarcoma
865,soft tissue sarcoma
866,gynecologic cancer
866,uterine cancer
866,ovarian cancer
866,endometrial cancer
867,osteonecrosis
867,cancer
867,bone metastases
868,head and neck cancer
869,tumors
870,oncology
870,solid tumor
871,follicular lymphoma
872,lung cancer
872,metastatic non-small cell lung cancer
873,blood disorder
873,chronic lymphocytic leukemia
874,melanoma
874,skin cancer
875,breast cancer
876,breast cancer
877,melanoma
877,skin cancer
878,blood disorder
878,chronic lymphocytic leukemia
879,cancer
879,central nervous system
879,tumors
879,oncology
880,breast cancer
881,blood disorder
881,chronic lymphocytic leukemia
882,melanoma
882,skin cancer
884,breast cancer
884,metastatic breast cancer
885,blood disorder
885,chronic lymphocytic leukemia
885,lymphoma
886,liver cancer
886,tumors
887,central nervous system
887,tumors
887,lung cancer
887,melanoma
887,skin cancer
888,genitourinary cancer
889,cancer
890,blood disorder
890,myelodysplastic syndrome
891,melanoma
891,skin cancer
892,squamous cell carcinoma
892,tumors
892,lung cancer
894,genitourinary cancer
895,cancer
