Abstract_Title,Session_Title,Date,Relevance,Priority
Systematic assessment of LCMV based vaccine vectors expressing melanocyte differentiation antigens in human in vitro assays and in mouse melanoma models.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
A general approach to optimizing tumor treating fields therapy.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Targeted-sequencing in rare cancers and the impact on patient treatment.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Elevated plasma cell-free DNA copy number variations to predict survival for cancer patient with spinal metastasis.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Validation and utilization of NGS based HEMEaccuTest<sup> </sup>panel and analysis software for hematological malignancies.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Use of a clinical trials screening tool in the NCI Community Oncology Research Program (NCORP) to enhance accrual and promote disparities research.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"Integration of radiomic, genomic and clinical data to support decision making for lung cancer.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Thyrointegrin avß3 nano targeted delivery of chemotherapy into solid tumors and its microenvironment.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Circulating tumor DNA (ctDNA) mutation and epigenomic patterns in early-stage lung cancer patients and its utility in identifying patients at high risk for early recurrence.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
The host response to immune checkpoint inhibitors: From mechanisms to therapeutic implications.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Anticoagulants for the treatment of venous thromboembolism in patients with cancer: An updated pairwise and network meta-analysis of randomized trials.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Highly sensitive detection of rare mutant alleles by combining argonaute-based enrichment and XNA-PCR.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
The role of anticoagulants for the primary prophylaxis of venous thromboembolism in patients with malignancy: A systematic review and meta-analysis of randomized controlled trials.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
A novel function for cyclin D1 as a transcriptional role in oncogenesis and tumor development by ChIP-Seq and RNA-Seq.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
A comparative analysis of RNA sequencing methods with ribosome RNA depletion for degraded and low-input total RNA from formalin-fixed and paraffin-embedded samples.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Clinical-relevant model of intraductal papillary mucinous neoplasm induced by <em>ARID1A</em> loss.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"The relationship between mesenchymal stem cells, monocyte-macrophages, endothelial progenitor cells, and prognosis of hepatocellular carcinoma.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
"RNA-based biomarker signatures in plasma as an independent predictor of outcome to chemotherapy in lung, colon, and breast cancers: Correlation of relative PD-L1 expression with immunotherapy outcomes.",Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
The prognostic role of a novel TP53 mutation classifier in resectable esophageal squamous-cell carcinoma.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Trends in case-control allocation in phase III randomized cancer clinical trials.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Pooled analysis of onapristone extended release (ONA ER) in metastatic cancer patients (pts): A review of liver safety.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Mechanistic study of the superior anti-cancer properties of a first-in-class small molecule targeting PCNA.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Assessing the risk of chemotherapy toxicity and hospital admission due to toxicity.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
#earlydetection: Leveraging social media to recruit individuals at increased-risk of pancreas cancer for an early detection study.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Notch family gene mutations associate with high tumor mutational burden in diverse cancers.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Bioinformatic inspired nanoparticles engineered for enhanced delivery to the bone.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
<sup>18</sup>F-alfatide PET may predict anti-angiogenic drugs toxicity.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Defining real-world criteria for immune-related adverse events (irAEs).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Factors influencing the intracellular exposure of gemcitabine triphosphate in children with CNS tumors.,Central Nervous System Tumors: Publication Only,"May 31, 2019",0,Not Relevant
Induction of antigen specific CD8+ T cell infiltration by a novel neoadjuvant vaccine containing HSP70 and GPC3 peptides plus soluble LAG-3 and Poly-IC:LC: Interim results of a Phase I study.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Predictive value of baseline clinicopathological factors in non-small cell lung cancer (NSCLC) patients on checkpoint inhibitors (CPI).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
T cell receptor ß-chain repertoire analysis to reveal potential predictive biomarker for the use of immune checkpoint blockade in patients with advanced solid tumors.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Is inmunotherapy a safe treatment in bladder cancer? A retrospective study in daily practice.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Changes in skeletal muscle mass during PD-1 and PD-L1 checkpoint inhibitor therapy in advanced-stage non-small cell lung cancer patients.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Characteristics and treatment of rheumatologic adverse events associated with immune checkpoint inhibitors: A multicentric prospective cohort study.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Response rate to chemotherapy after disease progression with anti-PD-1/PD-L1 in metastatic cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"A novel dual inhibitor of IDO and TDO, CMG017, potently suppresses the kynurenine pathway and overcomes resistance to immune checkpoint inhibitors.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Evaluation of combined biomarkers for tumor response to immunotherapy (I/O) in patients with advanced non-small cell lung cancer (NSCLC).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
A landscape analysis of immunotherapy-related biomarkers across solid tumors.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Preclinical development of combination therapy targeting the dominant cytokine interleukin-1ß for renal cell carcinoma.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
TCR repertoire analysis from peripheral blood for prognostic assessment of patients during treatment.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Effect on anti-tumor immunity and long-term memory CD8+ T-cell generation with a novel, allogeneic cell-based, Gp96-Ig/OX40L cancer vaccine.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Immunotherapy with checkpoint inhibitors in mismatch repair deficient (dMMR) cancers: Looking for a needle in a haystack But, joy on finding one.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Coexpression patterns of IDO-1, PD-L1 and EGFR in non-small cell lung cancer.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Immunotherapy clinical trials suggest predictive immune-related biomarkers are tissue specific.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Defining tissue requirements for a reliable detection of tumor mutational burden (TMB) in clinical FFPE samples.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Immunological and clinical profiles of patients with advanced or metastatic melanoma receiving immune checkpoint inhibitors to investigate potential biomarkers for immune-related adverse events.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Safety and efficacy of repeated intra-hepatic artery and intravenous infusion of ET140202, a novel anti-AFP/MHC complex T-cell, in advanced hepatocellular carcinoma.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Anti-HER2/Neu antibody therapy can reduce the immunosuppressive activity of MDSCs in breast tumor model.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Recapitulation of inflammatory and immune-evasive subtypes of oral cancer cells in immunodeficient mice.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Real-world outcomes with immuno-oncology (IO) therapies: A prospective, observational cohort study in patients (pts) with advanced melanoma (OPTIMIzE).",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Expression of PD-L1 and IDO in hormone receptor negative DCIS.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Tislelizumab, an investigational anti-PD-1 antibody, combined with chemotherapy as first-line treatment for lung cancer in Chinese patients.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Cytopenia following axicabtagene ciloleucel (axi-cel) for refractory large B-cell lymphoma (LBCL).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
The role of different TGFß signatures in predicting outcome in high grade serous ovarian carcinoma.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Circulating tumor cell (CTC) PD-L1 and interferon regulatory factor-1 (IRF-1) expression as biomarkers of anti-PD-(L)1 response.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Applying machine learning strategy for microsatellite status detection in plasma sample type.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Immunotherapy: Auto-immune toxicity as a predictive factor of response.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Prognostic interaction of smoking history with circulating regulatory T cells in advanced non-small cell lung cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Development of a PD-L1 multiplex immunofluorescence assay with advanced visual analysis for understanding the tumor microenvironment.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Some characteristics of cancer-testis gene expression regulation in colorectal cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Efficacy and safety of nivolumab monotherapy as the late line for patients with advanced gastric cancer in the real-world.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Is a clinical biomarker predictive of outcomes with immune checkpoint inhibitor (ICI) therapy in a phase I patient population.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"A phase II, open label, randomized, noncomparative study of eFT508 (tomivosertib) alone or in combination with avelumab in subjects with relapsed/refractory microsatellite stable colorectal cancer (MSS CRC).",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
AGEN2373 is a conditionally-active agonist antibody targeting the costimulatory receptor CD137 for the treatment of human malignancies.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Recycling of residual liquid drug formation following pressurized intra-peritoneal aerosol chemotherapy (PIPAC).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Personalized multimodality therapy with immune checkpoint inhibitors (ICI), chemotherapy (CT), and targeted treatment (TT) in advanced refractory cancer.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Breast MRI as a radiomic biomarker of immune enrichment in HER2+ breast cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Surface programmable activation receptor (SPAR) cell platform for the rapid detection of melanoma-specific biomarkers.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Prospective cardiac function monitoring in immunotherapy-treated patients.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Outcomes and toxicities in sarcopenic patients with metastatic solid tumors treated with check point inhibitors.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Microsatellite instability assessment of FFPE tumor samples through targeted next-generation sequencing.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Correlation between circulating cell-free RNA biomarkers and response during combination immunotherapy in previously refractory metastatic TNBC patients.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Prognostic significance of NLR kinetics in operable triple negative breast cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Live-attenuated LCMV-based vector for active immunotherapy of HPV16+ cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Association of efficacy of anti-PD-1 immunotherapy in patients with advanced cancer with immune-related adverse events (irAEs).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
A retrospective cohort study of anti-PD-1 therapy combined with chemotherapy in patients with advanced biliary tract cancer.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
A machine learning based prediction model of anti-PD-1 therapy response using noninvasive clinical information and blood markers of lung cancer patients.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Comparison of in vitro antitumor activity between SB3 (trastuzumab biosimilar, Ontruzant) and Herceptin combined with an antibody for subdomain II of HER2 in HER2-positive cancer cells.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Predictors and outcomes of thyroid dysfunction with immunotherapy: A single institution observational experience.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
"Experience with CXCL12 inhibitor NOX-A12 plus pembrolizumab in patients with microsatellite-stable, metastatic colorectal or pancreatic cancer.",Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Comprehensive analysis of lymphocyte loss kinetics in patients treated with focal fractionated radiation therapy.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Impact of biopsy methodology on biomarker testing in NSCLC in EU5.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Assessment of extracellular matrix and tissue derived metabolites in a liquid biopsy for identifying endotypes of metastatic melanoma patients with differential response to immune checkpoint inhibitor treatment.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Phase Ib study of pembrolizumab and trebananib (angiopoietin-2 inhibitor [Ang-2]): Preliminary analysis of the colorectal cancer (CRC) cohort.,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Concordance between PD-L1 assays for metastatic renal cell carcinoma (mRCC) and metastatic urothelial carcinoma (mUC).,Developmental Immunotherapy and Tumor Immunobiology: Publication Only,"May 31, 2019",0,Not Relevant
Effect of PGK1 on radiosensitivity through regulation of CIN and CFL1 in human glioma cells.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Clinical analysis of cancer associated venous thromboembolism in hospitalized patients with malignant solid tumors in real-world practices.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
NCI9782: A phase 1 study of talazoparib in combination with carboplatin and paclitaxel in patients with advanced solid tumors.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Therapy alteration of solid tumors based on FoundationOne comprehensive genome profiling assay.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
PDL1 landscape in checkpoint inhibitor ineligible patients by IHC and cfRNA.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Feasibility of a platform trial based on molecular analysis in rare gynecologic cancers.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
Rationale and preclinical development of LEAF-1401 and LEAF-1701: A novel class of potent next generation antifolates.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
MET amplification and exon 14 skipping in treatment naïve patients in lung cancer.,Developmental Therapeutics and Tumor Biology (Nonimmuno): Publication Only,"May 31, 2019",0,Not Relevant
