Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
13th Annual Congress of the European Association for Haemophilia and Allied Disorders (EAHAD),Hematology,NA,0,Netherlands,"The hague, South Holland",05-02-2020,07-02-2020,-,13900,1
13th Annual Headache Cooperative of the Pacific (HCOP) Winter Conference,Neurology,NA,0,United States of America,"Ojai, California",24-01-2020,25-01-2020,-,625,1
13th Annual Perspectives in Rheumatic Diseases Conference,Rheumatology,NA,0,United States of America,"Las Vegas, Nevada",10-09-2020,12-09-2020,-,992000,1
13th Asian and Oceanian Epilepsy Congress (AOEC),Neurology,Epilepsy,0,Japan,"Fukuoka, Fukuoka",08-10-2020,11-10-2020,-,1310,0
13th Asian-Pacific Society of Atherosclerosis and Vascular Diseases (APSAVD),Cardiology,Atherosclerosis,0,Malaysia,"Kuala Lumpur, Kuala Lumpur",25-06-2020,26-06-2020,-,563,0
13th ESO-EONS Masterclass in Oncology Nursing,Oncology,NA,0,Spain,"Barcelona, Cataluna",21-03-2020,26-03-2020,-,23400,1
"13th International Conference on Osteoporosis, Arthritis and Musculoskeletal Disorders",Musculoskeletal Disorders,"Osteoporosis,Arthritis,Musculoskeletal Disorders",0,United Arab Emirates,Dubai,08-04-2020,09-04-2020,-,334000,0
13th International Congress of Hyperthermic Oncology (ICHO 2020),Oncology,NA,0,Netherlands,"Rotterdam, South Holland",27-09-2020,30-09-2020,-,4120,1
145th Annual Meeting of the American Neurological Association (ANA),Neurology,NA,1,United States of America,"Los Angeles, California",04-10-2020,06-10-2020,-,12200,1
14th Annual American Conference for the Treatment of HIV (ACTHIV) Conference,Infectious Disease,NA,0,United States Of America,"Chicago, Illinois",16-04-2020,18-04-2020,-,1830,1
14th Annual Pathology Learning Centers Course,Pathology,NA,0,United States of America,"Key Largo, Florida",08-02-2020,12-02-2020,1400,2100000,1
14th Annual Primary Care Spring Conference Session I,Internal Medicine,NA,0,United States Of America,"Palm Coast, Florida",23-03-2020,27-03-2020,725,11500000,1
14th Asia-Pacific Vitreo-retina Society (APVRS) Congress,Ophthalmology,NA,0,Hong Kong,"Hong Kong, Hongkong",18-12-2020,20-12-2020,-,1300,0
14th Canadian Melanoma Conference 2020,Oncology,Melanoma,0,Canada,"Banff, Alberta",20-02-2020,22-02-2020,420,698000,0
14th EGS Congress,Ophthalmology,NA,0,Belgium,Brussels,30-05-2020,02-06-2020,-,244000,1
14th European Congress on Epileptology,Neurology,NA,0,Switzerland,"Geneve, Geneva",04-07-2020,08-07-2020,-,5790,1
14th European Glaucoma Society (EGS) Congress,Ophthalmology,Glaucoma,0,Belgium,"Brussels, Brussels",30-05-2020,02-06-2020,-,10500,1
14th European Headache Federation (EHF) Congress,Neurology,NA,0,Germany,"Berlin, Berlin",03-07-2020,05-07-2020,-,15900,1
"14th International Conference on Orthopedics, Arthroplasty and Rheumatology",Musculoskeletal Disorders,NA,0,Austria,Vienna,17-07-2020,18-07-2020,-,52200,1
14th International Conference on Osteogenesis Imperfecta (OI2020),Genetic Disorders,Osteogenesis Imperfecta,0,United Kingdom,"Sheffield, England",05-09-2020,08-09-2020,-,19200,1
"14th International Scientific Conference on Probiotics, Prebiotics, Gut Microbiota and Health - IPC2020",Gastrointestinal,NA,0,Czech Republic,"Prague, Prague",22-06-2020,25-06-2020,-,10,1
14th Monaco Biennale of Oncology,Oncology,NA,0,Monaco,"Monaco, Monaco",29-01-2020,01-02-2020,-,84100,1
14th World Down Syndrome Congress (WDSC),Genetic Disorders,Down Syndrome,0,United Arab Emirates,"Dubai, Dubai",15-11-2020,17-11-2020,-,4100,0
15th Annual Meeting of the Korean American Spine Society (KASS),Musculoskeletal Disorders,NA,1,United States Of America,"Carlsbad, California",02-07-2020,04-07-2020,745,454000,1
15th Annual New Orleans Summer Cancer Meeting (NOSCM),Oncology,NA,0,United States of America,"New Orleans, Louisiana",17-07-2020,19-07-2020,-,15800,1
15th Annual Practical Course in Dermoscopy and Update on Malignant Melanoma 2020,Oncology,Melanoma,0,United States Of America,"Scottsdale, Arizona",04-12-2020,06-12-2020,-,5610,1
15th Annual Scientific Meeting of Asia Pacific Society of Cardiovascular and Interventional Radiology (APSCVIR),Cardiology,Cardiovascular,0,Taiwan,"Taipei, Taipei",06-03-2020,09-03-2020,-,6280,0
15th Biennial Congress of the Anaerobe Society of the Americas (ASA),Infectious Disease,NA,0,United States of America,"Seattle, Washington",23-07-2020,26-07-2020,-,61600,1
15th Congress of ECCO,Gastrointestinal,NA,0,Austria,"Vienna, Wien",12-02-2020,15-02-2020,-,172000,1
15th Euro-Global Gastroenterology Conference,Gastrointestinal,NA,0,Italy,Rome,24-06-2020,25-06-2020,-,196000,1
15th European Conference on Pediatric and Neonatal Mechanical Ventilation,Respiratory,NA,0,Switzerland,"Montreux, Vaud",01-04-2020,04-04-2020,-,1200000,1
15th International Congress of Neuroimmunology (ISNI) and 3rd Global Schools of Neuroimmunology (GSNI) Pre-Course,Neurology,NA,0,France,"Nice, Provence Alpes Cote",02-11-2020,06-11-2020,-,73,1
15th Meeting of the European Association of Neuro-Oncology (EANO),Oncology,NA,0,United Kingdom,"Glasgow, Scotland",09-09-2020,13-09-2020,-,18100,1
15th Surgical Anatomy in Head & Neck Cancers Procedures,Oncology,NA,0,Italy,"Verona, Veneto",22-01-2020,24-01-2020,-,2340000,1
15th World Congress Of The International Academy Of Cosmetic Dermatology 2020,Dermatology,Dermatology,0,Germany,"Dresden, Saxony",10-06-2020,13-06-2020,-,579000,1
16th Annual California Cancer Consortium Conference (CCC),Oncology,NA,0,United States of America,"Pasadena, California",14-08-2020,16-08-2020,-,221000,1
16th Annual Clinical Breakthroughs & Challenges in Hematologic Malignancies,Hematology,NA,1,United States of America,"Lake Buena Vista, Florida",18-01-2020,NA,-,1870000,1
16th Annual Coastal Dermatology Symposium,Dermatology,Dermatology,0,United States of America,"Santa Rosa, California",15-10-2020,17-10-2020,-,463000,1
16th Annual Hot Topics in Cardiology,Cardiology,NA,0,Canada,"Vancouver, British Columbia",08-02-2020,NA,-,445000,0
16th Annual International Symposium on Melanoma and Other Cutaneous Malignancies,Oncology,Melanoma,1,United States of America,"New York, New York",08-02-2020,NA,-,218000,1
16th Annual Meeting of the Oligonucleotide Therapeutics Society (OTS),Genetic Disorders,NA,0,Canada,"Montreal, Quebec",27-09-2020,30-09-2020,-,12300,0
16th Annual Scientific Congress of the European Cardiac Arrhythmia Society (ECAS) 2020,Cardiology,NA,0,France,"Paris, Ile-de-France",05-04-2020,07-04-2020,-,31900,1
16th Annual Update Conference on Neurology & Clinical Neurophysiology,Neurology,Neurology,0,Israel,"Tel Aviv, Tel Aviv",17-02-2020,18-02-2020,-,2420000,0
16th Annual Women's & Pediatric Dermatology Seminar,Dermatology,Dermatology,0,United States of America,"Newport Beach, California",19-06-2020,20-06-2020,-,27800000,1
16th European Academy of Dermatology and Venereology (EADV) Spring Symposium,Dermatology,Dermatology,0,Portugal,"Porto, Porto",29-04-2020,02-05-2020,-,4010,1
16th Global Summit on Hematology and Blood Disorders,Hematology,NA,0,United Kingdom,London,02-03-2020,03-03-2020,-,573000,1
16th International Conference on Digestive Disorders and Gastroenterology,Gastrointestinal,NA,0,Thailand,Bangkok,08-06-2020,09-06-2020,-,8860000,0
16th International Regional,Neurology,NA,0,Georgia,"Tbilisi, Tbilisi",28-05-2020,NA,-,46100000,1
16th International Thyroid Congress,Metabolic Disorders,NA,0,China,Xi'an,08-09-2020,13-09-2020,-,1170000,0
16th Little Brain Big Brain Conference 2020,Neurology,NA,0,Australia,"Port elliot, South Australia",22-03-2020,25-03-2020,-,8.00E+06,0
16th Thoracic Oncology Winter Symposium,Pathology,NA,0,Belgium,"Ghent, East Flanders",20-01-2020,NA,-,221000,1
16th World Congress on Endocrinology & Diabetes,Metabolic Disorders,Diabetes,0,Denmark,Copenhagen,17-08-2020,18-08-2020,-,271000,1
16th World Congress on Gastroenterology & Therapeutics,Gastrointestinal,NA,0,Japan,Osaka,06-04-2020,07-04-2020,-,281000,0
17th AIO Autumn Congress - Update Medical Oncology,Oncology,NA,0,Germany,"Berlin, Berlin",19-11-2020,21-11-2020,-,320000,1
17th Annual International Ultmann Chicago Lymphoma Symposium,Oncology,Lymphoma,0,United States Of America,"Chicago, Illinois",01-05-2020,02-05-2020,375,4350,1
17th Annual Miami Cancer Meeting,Oncology,NA,1,United States Of America,"Miami, Florida",01-05-2020,03-05-2020,-,3880000,1
"17th Annual Oral Pathology Symposium: LUST IN PATHOLOGY (Lumps, Ulcers, Striae, Treatment) & Diagnosis Update",Pathology,Ulcers,0,United States of America,"Lake Buena Vista, Florida",07-02-2020,08-02-2020,709,30300,1
17th Annual Winter Lung Cancer Conference,Oncology,Lung Cancer,0,United States Of America,"Miami Beach, Florida",07-02-2020,09-02-2020,-,1180000,1
17th Biennial Congress of the Asian Association of Endocrine Surgeons - AsAES 2020,Metabolic Disorders,NA,0,Australia,Melbourne,05-03-2020,07-03-2020,-,5720,0
17th European Cystic Fibrosis Society (ECFS) Basic Science Conference,Genetic Disorders,Cystic Fibrosis,0,Portugal,"Albufeira, Faro",25-03-2020,28-03-2020,-,4780,1
17th Immunology of Diabetes Society (IDS) Congress,Metabolic Disorders,"Immunology,Diabetes",0,China,"Chaoyang District, Beijing",22-04-2020,26-04-2020,-,82400,0
17th Interdisciplinary Cerebrovascular Symposium,Neurology,NA,0,Italy,"Santa Cruz Island, Galapagos",18-03-2020,21-03-2020,-,212000,1
17th International Congress of Immunology,Immunology,Immunology,0,China,Beijing,NA,NA,-,515000,0
18th ADS John R. Turtle Clinical Skills Training Course for Advanced Trainees in Endocrinology,Metabolic Disorders,NA,0,Australia,"South brisbane, Queensland",28-08-2020,NA,-,209000,0
18th Annual MCI Symposium/Workshop/Forum,Neurology,NA,0,United States of America,"Miami, Florida",18-01-2020,19-01-2020,450,166000,1
18th Annual Oncology Update: Advances and Controversies,Oncology,NA,0,United States Of America,"Steamboat Springs, Colorado",17-01-2020,20-01-2020,650,5300000,1
18th Annual South Beach Symposium (SBS),Dermatology,NA,0,United States Of America,"Miami Beach, Florida",06-02-2020,09-02-2020,1295,310000,1
18th British Thoracic Oncology Group (BTOG) Annual Conference 2020,Oncology,NA,0,Ireland,"Dublin, Leinster",29-01-2020,31-01-2020,-,349,1
18th European Meeting on HIV & Hepatitis,Infectious Disease,NA,0,France,"Paris, Ile-de-France",27-05-2020,29-05-2020,-,5110000,1
18th Societa Oftalmologica Italiana (SOI)/Italian Society of Ophthalmology International Congress,Ophthalmology,Ophthalmology,0,Italy,"Milano, Lombardia",27-05-2020,30-05-2020,-,6660,1
18th SPR Hands-on Course on Pediatric Cardiovascular MR and 16th SPR Advanced Symposium on Pediatric Cardiovascular Imaging,Cardiology,Cardiovascular,0,United States Of America,"Chicago, Illinois",13-10-2020,18-10-2020,-,79300,1
18th Urological Association of Asia Congress (UAA 2020) In conjunction with the 72nd Annual Meeting of the Korean Urological Association,Genito Urinary System And Sex Hormones,NA,0,South Korea,"Gangnam gu, Seoul",14-10-2020,17-10-2020,-,35300,0
18th World Hematology Congress,Hematology,NA,0,United Kingdom,London,16-03-2020,17-03-2020,-,307000,1
19th Annual Caribbean Dermatology Symposium,Dermatology,Dermatology,0,Bahamas,"Paradise Island, New Providence",21-01-2020,25-01-2020,995,425000,0
19th Annual GI Pow Wow,Gastrointestinal,NA,0,United States Of America,"Denver, Colorado",04-04-2020,NA,-,478000,1
19th Annual International Congress on the Future of Breast Cancer West,Oncology,Breast Cancer,0,NA,NA,NA,NA,-,606000,0
19th Annual Symposium on Current Concepts in Spinal Disorders,Rheumatology,NA,1,United States Of America,"Las Vegas, Nevada",30-01-2020,01-02-2020,-,2900000,1
19th Asia Pacific Ophthalmologists Annual Meeting,Ophthalmology,NA,0,Singapore,NA,19-10-2020,20-10-2020,-,750000,0
19th ESO-ESMO Masterclass in Clinical Oncology,Oncology,NA,0,Spain,"Barcelona, Cataluna",21-03-2020,26-03-2020,-,2180,1
19th International Congress of Endocrinology (ICE 2020),Metabolic Disorders,NA,0,Argentina,Buenos Aires,04-10-2020,07-10-2020,-,190000,0
19th International Congress on Infectious Diseases (ICID),Infectious Disease,NA,0,Malaysia,"Kuala Lumpur, Kuala Lumpur",20-02-2020,23-02-2020,499,37500,0
19th Meeting of the European Hair Research Society (EHRS),Dermatology,NA,0,United Kingdom,"Sheffield, England",18-06-2020,20-06-2020,-,362000,1
1st North American Epilepsy Congress (NAEC),Neurology,Epilepsy,0,Canada,"Toronto, Ontario",25-09-2020,27-09-2020,-,5280,0
1st Translational Research Conference on Chronic Lymphoblastic Leukaemia,Oncology,NA,0,France,"Paris, Ile-de-France",20-03-2020,22-03-2020,-,211000,1
1st Update Course In Pathology,Pathology,NA,0,Argentina,"Salta, Salta",17-09-2020,20-09-2020,550,1.90E+07,0
"1st World NET Forum - A Forum on Basic, Translational & Global NET Aspects will be hosted by the European Neuroendocrine Tumor Society (ENETS)",Pathology,NA,0,Spain,"Barcelona, Cataluna",10-03-2020,11-03-2020,-,930000,1
2-Day: Sacroiliac Joint Specialist Certification: Innovative Treatment Methods for Every Type of Lumbopelvic Dysfunction,Musculoskeletal Disorders,NA,0,United States of America,"Downers Grove, Illinois",21-03-2020,22-03-2020,499.99,31600,1
"2-Day: Stroke Rehabilitation Intensive Training Course: Best Practices for Rapid Functional Gains and Improved Outcomes (Apr 24 - 25, 2020)",Neurology,Stroke,0,United States of America,"Bloomington, Minnesota",24-04-2020,25-04-2020,499.99,1930000,1
2-Day: The 2020 Cardiovascular Course: Conquer the Deteriorating Cardiac Patient,Cardiology,Cardiovascular,0,United States of America,"Honolulu, Hawaii",23-04-2020,24-04-2020,439.99,1080000,1
"2-Day: Vision Therapy Intensive Training Course: Upgrade Your Skills & Boost Referrals with Today‚ÄövÑv¥s Best Practices (Feb 06 - 07, 2020)",Ophthalmology,NA,0,United States Of America,"San Diego, California",06-02-2020,07-02-2020,499.99,41900000,1
20/20 Ophthalmic Hopes and Inspirations,Ophthalmology,NA,0,Cyprus,"Limassol, Limassol",25-04-2020,26-04-2020,-,346000,0
2020 2nd Annual Play with Aces and Always Win: Pelvic Surgery at Its Best,Genito Urinary System And Sex Hormones,NA,0,United States Of America,"Washington, Dist Of Col",03-04-2020,04-04-2020,600,1100000,1
2020 47th Annual Meeting: ISS Musculoskeletal Diagnostic Meeting,Musculoskeletal Disorders,NA,0,Spain,"Barcelona, Barcelona",04-10-2020,09-10-2020,-,5170,1
2020 AAAAI Annual Meeting,Immunology,NA,0,United States,Philadelphia,13-03-2020,16-03-2020,-,55000,1
2020 AAD Annual Meeting,Dermatology,NA,0,United States,Denver,20-03-2020,24-03-2020,-,237000,1
2020 AAPOS Pre-Meeting at World Ophthalmology Congress (WOC),Ophthalmology,Ophthalmology,0,South Africa,"Cape Town, Western Cape",25-06-2020,NA,-,10,0
2020 ACMG Annual Clinical Genetics Meeting,Genetic Disorders,NA,0,United States of America,"San Antonio, Texas",17-03-2020,21-03-2020,-,31200,1
2020 ACR Annual Meeting,Musculoskeletal Disorders,NA,1,United States,NA,06-11-2020,11-11-2020,-,526000,1
2020 Advanced uroLogic Conference,Genito Urinary System And Sex Hormones,NA,1,United States Of America,"Dallas, Texas",27-03-2020,29-03-2020,-,1360000,1
2020 American Academy of Dermatology (AAD) Annual Meeting,Dermatology,Dermatology,1,United States Of America,"Denver, Colorado",20-03-2020,24-03-2020,2080,62900,1
2020 American Academy of Neurology (AAN) Annual Meeting,Neurology,Neurology,0,Canada,"Toronto, Ontario",25-04-2020,01-05-2020,-,243000,0
2020 American Glaucoma Society (AGS) Annual Meeting,Ophthalmology,Glaucoma,0,United States of America,"Washington, Dist of Col",27-02-2020,01-03-2020,650,35000,1
2020 American Neurotology Society (ANS) Spring Meeting,Neurology,NA,0,United States Of America,"Atlanta, Georgia",24-04-2020,26-04-2020,-,110000,1
2020 American Psychosocial Oncology Society (APOS) Annual Conference,Oncology,NA,0,United States Of America,"Portland, Oregon",11-03-2020,13-03-2020,-,26600,1
2020 American Society for Experimental Neurotherapeutics (ASENT) Annual Meeting,Neurology,NA,0,United States of America,"Bethesda, Maryland",02-03-2020,05-03-2020,-,13100,1
2020 American Society for Radiation Oncology (ASTRO) Annual Refresher Course,Oncology,NA,0,United States Of America,"New Orleans, Louisiana",20-03-2020,22-03-2020,1050,46100,1
2020 American Speech-Language-Hearing Association (ASHA) Convention,Pathology,NA,0,United States Of America,"San Diego, California",19-11-2020,21-11-2020,-,323000,1
2020 Annual APC / PRODS / PDAS / UMEDS / GMEAS Meeting,Pathology,NA,0,United States of America,"San Diego, California",20-07-2020,23-07-2020,-,13600,1
2020 Annual Cerebrovascular Disease Symposium: From Clinical Trial to Clinical Practice,Neurology,Cerebrovascular Disease,1,United States of America,"Los Angeles, California",03-10-2020,NA,-,3100000,1
2020 Annual Clinical Eye Care Conference and Alumni Reunion,Ophthalmology,NA,0,United States Of America,"Fort Lauderdale, Florida",24-04-2020,26-04-2020,-,6880000,1
2020 Annual Conference on Vaccinology Research (ACVR),Infectious Disease,NA,0,United States Of America,"Washington, Dist Of Col",23-03-2020,25-03-2020,-,34500,1
2020 Annual EAU Congress,Genito Urinary System And Sex Hormones,NA,0,The Netherlands,Amsterdam,20-03-2020,24-03-2020,-,1310000,1
"2020 Annual Meeting of the DGHO, OeGHO, SGMO and SGH",Oncology,NA,0,Switzerland,"Basel, Basel-Stadt",09-10-2020,13-10-2020,-,1970,1
2020 Annual UCSF Current Issues in Anatomic Pathology,Pathology,NA,0,United States Of America,"San Francisco, California",21-05-2020,23-05-2020,-,34900,1
2020 Annual Western Regional Oncology/Hematology Pharmacy & Nursing Symposium,Oncology,NA,0,United States Of America,"Los Angeles, California",13-06-2020,NA,-,353000,1
2020 ANZGOSA Annual Meeting,Oncology,NA,0,New Zealand,"Christchurch, Canterbury",24-08-2020,25-08-2020,-,313,0
2020 AOCD Fall Current Concepts In Dermatology,Dermatology,Dermatology,0,United States Of America,"Chicago, Illinois",08-10-2020,11-10-2020,-,2090,1
2020 AOCD Spring Current Concepts in Dermatology,Dermatology,Dermatology,0,United States of America,"West Palm Beach, Florida",19-02-2020,22-02-2020,-,2000,1
2020 Arizona United Rheumatology Alliance (AURA) Annual Meeting,Rheumatology,NA,0,United States Of America,"Sedona, Arizona",05-06-2020,07-06-2020,-,359000,1
2020 ASCO Annual Meeting,Oncology,NA,1,United States of America,"Chicago, IL",29-05-2020,02-06-2020,-,243000,1
2020 ASCO-SITC Clinical Immuno-Oncology Symposium,Oncology,NA,0,NA,NA,NA,NA,-,4160,0
2020 ASCRS | ASOA Annual Meeting,Ophthalmology,NA,0,United States Of America,"Boston, Massachusetts",15-05-2020,19-05-2020,-,53500,1
2020 ASCRS ANNUAL MEETING,Ophthalmology,NA,0,United States,Boston,15-05-2020,19-05-2020,-,45400,1
2020 ASPHO Conference,Hematology,NA,0,United States,Fort Worth,06-05-2020,09-05-2020,-,4640,1
2020 ASPHO Conference,Oncology,NA,0,United States,Fort Worth,06-05-2020,09-05-2020,-,4640,1
2020 Association of Oncology Social Work (AOSW) Annual Conference,Oncology,NA,0,United States Of America,"Raleigh, North Carolina",10-06-2020,12-06-2020,-,1620,1
2020 Australian Diabetes Society (ADS) / Australian Diabetes Educators Association (ADEA) Annual Scientific Meeting,Metabolic Disorders,Diabetes,0,Australia,"South brisbane, Queensland",26-08-2020,28-08-2020,-,110000,0
2020 Breast Cancer Coordinated Care (BC3) Conference,Oncology,Breast Cancer,0,United States Of America,"Washington, Dist Of Col",27-02-2020,29-02-2020,-,30600,1
2020 British Paediatric Neurology Association (BPNA) Annual Conference,Neurology,Neurology,0,United Kingdom,"Belfast, North Ireland",29-01-2020,31-01-2020,-,1660,1
2020 Cancer Immunology and the Tumor Microenvironment Symposium,Pathology,Immunology,0,United States of America,"La Jolla, California",18-03-2020,NA,-,172000,1
2020 Cedars-Sinai International Endoscopy Symposium,Internal Medicine,NA,0,United States of America,"Los Angeles, California",30-01-2020,02-02-2020,575,96300,1
2020 Christian Medical & Dental Associations (CMDA) National Convention,Internal Medicine,NA,0,United States Of America,"Covington, Kentucky",16-04-2020,19-04-2020,-,1.73E+08,1
2020 CNPA Conference: Revitalizing Naturopathic Medicine,Genetic Disorders,NA,0,United States Of America,"Uncasville, Connecticut",13-03-2020,14-03-2020,395,4630,1
2020 COA Annual Conference,Oncology,NA,0,United States,Orlando,23-04-2020,24-04-2020,-,1230000,1
2020 Conference on Rare Gynecologic Tumors,Oncology,NA,0,United States Of America,"Houston, Texas",03-12-2020,04-12-2020,-,1230000,1
2020 Congress of Clinical Dermatology,Dermatology,Dermatology,1,United States of America,"Miramar Beach, Florida",22-05-2020,25-05-2020,-,947000,1
2020 Controversies in Internal Medicine Conference,Internal Medicine,NA,0,United States Of America,"Hilton Head Island, South Carolina",04-05-2020,08-05-2020,-,6960000,1
2020 COS Annual Meeting and Exhibition,Ophthalmology,NA,0,Canada,"Vancouver, British Columbia",25-06-2020,28-06-2020,-,1300000,0
2020 Diagnostic Pathology Update,Pathology,NA,0,Costa Rica,"Playa Herradura, Puntarenas",12-07-2020,17-07-2020,2199,22100000,0
2020 Dysphagia Research Society (DRS) Annual Meeting,Gastrointestinal,Dysphagia,0,Puerto Rico,"San Juan, Puerto Rico",17-03-2020,20-03-2020,750,132000,0
2020 Eye Bank Association of America (EBAA) Annual Meeting,Ophthalmology,NA,1,United States of America,"Dallas, Texas",17-06-2020,20-06-2020,-,5970000,1
2020 Florida Cancer Specialists Clinical Summit,Oncology,NA,0,United States Of America,"Orlando, Florida",23-10-2020,25-10-2020,-,5270000,1
2020 Gastrointestinal Cancers Symposium,Oncology,Gastrointestinal,0,NA,NA,NA,NA,-,456000,0
2020 GMDI Conference,Metabolic Disorders,NA,0,United States,Austin,30-04-2020,02-05-2020,-,1030,1
